journal,ISSN
Brazilian Journal of Anesthesiology,0104-0014
Brazilian Journal of Otorhinolaryngology,1808-8694
Burns Open,2468-9122
Cancer Treatment and Research Communications,2468-2942
CASE,2468-6441
Case Reports in Women's Health,2214-9112
Case Studies in Chemical and Environmental Engineering,2666-0164
Case Studies in Construction Materials,2214-5095
Case Studies in Thermal Engineering,2214-157X
Cell Reports Medicine,2666-3791
Cell Reports Physical Science,2666-3864
Cellular and Molecular Gastroenterology and Hepatology,2352-345X
Cement,2666-5492
Central Bank Review,1303-0701
Cerebral Circulation - Cognition and Behavior,2666-2450
"Chaos, Solitons & Fractals: X",2590-0544
Chemical Engineering Science: X,2590-1400
Chemical Physics Letters: X,2590-1419
China Journal of Accounting Research,1755-3091
Chinese Journal of Aeronautics,1000-9361
Chinese Journal of Traumatology,1008-1275
Cirugía Cardiovascular,1134-0096
City and Environment Interactions,2590-2520
CJC Open,2589-790X
Climate Risk Management,2212-0963
Climate Services,2405-8807
Clinical and Translational Radiation Oncology,2405-6308
Clinical Infection in Practice,2590-1702
Clinical Neurophysiology Practice,2467-981X
Clinical Nutrition Experimental,2352-9393
Clinical Parkinsonism & Related Disorders,2590-1125
Clinical Spectroscopy,2666-0547
Clinics and Research in Hepatology and Gastroenterology: X,2590-1443
Composites Part C: Open Access,2666-6820
Comprehensive Psychiatry,0010-440X
Comprehensive Psychoneuroendocrinology,2666-4976
Computational and Structural Biotechnology Journal,2001-0370
Computers and Education Open,2666-5573
Computers in Human Behavior Reports,2451-9588
Contemporary Clinical Trials Communications,2451-8654
Contraception: X,2590-1516
Current Plant Biology,2214-6628
Current Problems in Cancer: Case Reports,2666-6219
Current Research in Behavioral Sciences,2666-5182
Current Research in Biotechnology,2590-2628
Current Research in Cell Biology,2590-2636
Current Research in Chemical Biology,2666-2469
Current Research in Ecological and Social Psychology,2666-6227
Current Research in Environmental Sustainability,2666-0490
Current Research in Food Science,2665-9271
Current Research in Genetics & Development,2665-9298
Current Research in Green and Sustainable Chemistry,2666-0865
Current Research in Immunology,2590-2555
Current Research in Insect Science,2666-5158
Current Research in Microbial Sciences,2666-5174
Current Research in Neurobiology,2665-945X
Current Research in Pharmacology and Drug Discovery,2590-2571
Current Research in Physiology,2665-9441
Current Research in Structural Biology,2665-928X
Current Research in Toxicology,2666-027X
Current Research in Virological Science,2666-478X
Current Therapeutic Research,0011-393X
Cytokine: X,2590-1532
Data in Brief,2352-3409
Dementia Science - Cognition and Behavior,2666-4593
Developmental Cognitive Neuroscience,1878-9293
Development Engineering,2352-7285
Developments in the Built Environment,2666-1659
Diabetes & Metabolism: X,2590-1540
Digital Geography and Society,2666-3783
Earth System Governance,2589-8116
EBioMedicine,2352-3964
EClinicalMedicine,2589-5370
Ecological Engineering: X,2590-2903
EconomiA,1517-7580
Educación Médica,1575-1813
Egyptian Informatics Journal,1110-8665
Egyptian Journal of Aquatic Research,1687-4285
Egyptian Journal of Petroleum,1110-0621
EJVES Vascular Forum,2666-688X
Electrochemistry Communications,1388-2481
Electronic Journal of Biotechnology,0717-3458
Endocrine and Metabolic Science,2666-3961
Energy and AI,2666-5468
Energy Conversion and Management: X,2590-1745
Energy Reports,2352-4847
Energy Strategy Reviews,2211-467X
eNeurologicalSci,2405-6502
Engineering,2095-8099
"Engineering Science and Technology, an International Journal",2215-0986
Environmental and Sustainability Indicators,2665-9727
Environmental Science & Ecotechnology,2666-4984
Environment International,0160-4120
Epidemics,1755-4365
Epilepsy & Behavior Reports,2589-9864
EuPA Open Proteomics,2212-9685
EURO Journal on Transportation and Logistics,2192-4376
European Economic Review Plus,2666-5506
European Journal of Cancer - Supplement,1359-6349
European Journal of Obstetrics & Gynecology and Reproductive Biology: X,2590-1613
European Journal of Radiology Open,2352-0477
European Research on Management and Business Economics,2444-8834
European Urology Open Science,2666-1691
Examples and Counterexamples,2666-657X
Expert Systems with Applications: X,2590-1885
F&S Reports,2666-3341
Food and Waterborne Parasitology,2405-6766
Food Chemistry: Molecular Sciences,2666-5662
Food Chemistry: X,2590-1575
Forces in Mechanics,2666-3597
Forensic Science International: Mind and Law,2666-3538
Forensic Science International: Reports,2665-9107
Forensic Science International: Synergy,2589-871X
Fuel Communications,2666-0520
Gaceta Sanitaria,0213-9111
Gene and Genome Editing,2666-3880
Genes and Diseases,2352-3042
Gene: X,2590-1583
"Genomics, Proteomics & Bioinformatics",1672-0229
Geography and Sustainability,2666-6839
Geoscience Frontiers,1674-9871
Giant,2666-5425
Global Ecology and Conservation,2351-9894
Global Epidemiology,2590-1133
Global Pasts,2666-2019
Graphics and Visual Computing,2666-6294
Gynecologic Oncology Reports,2352-5789
HardwareX,2468-0672
Health Policy OPEN,2590-2296
Health Professions Education,2452-3011
HeartRhythm Case Reports,2214-0271
Heart Rhythm O2,2666-5018
Hellenic Journal of Cardiology,1109-9666
Hematology/Oncology and Stem Cell Therapy,1658-3876
"Hematology, Transfusion and Cell Therapy",2531-1379
Human Microbiome Journal,2452-2317
Human Nutrition & Metabolism,2666-1497
Human Pathology: Case Reports,2214-3300
IATSS Research,0386-1112
IBRO Reports,2451-8301
ICT Express,2405-9595
IDCases,2214-2509
IHJ Cardiovascular Case Reports,2468-600X
IIMB Management Review,0970-3896
IJC Heart & Vasculature,2352-9067
Immuno-Oncology Technology,2590-0188
Indian Heart Journal,0019-4832
Indian Pacing and Electrophysiology Journal,0972-6292
Infection Prevention in Practice,2590-0889
Informatics in Medicine Unlocked,2352-9148
Integrative Medicine Research,2213-4220
Intelligence-Based Medicine,2666-5212
Interdisciplinary Neurosurgery,2214-7519
International Journal for Parasitology: Drugs and Drug Resistance,2211-3207
International Journal for Parasitology: Parasites and Wildlife,2213-2244
International Journal of Africa Nursing Sciences,2214-1391
International Journal of Applied Earth Observation and Geoinformation,0303-2434
International Journal of Cardiology Hypertension,2590-0862
International Journal of Clinical and Health Psychology,1697-2600
International Journal of Infectious Diseases,1201-9712
International Journal of Medical Microbiology,1438-4221
International Journal of Mining Science and Technology,2095-2686
International Journal of Naval Architecture and Ocean Engineering,2092-6782
International Journal of Nursing Sciences,2352-0132
International Journal of Nursing Studies Advances,2666-142X
International Journal of Pediatrics and Adolescent Medicine,2352-6467
International Journal of Pharmaceutics: X,2590-1567
International Journal of Surgery Case Reports,2210-2612
International Journal of Surgery Open,2405-8572
International Journal of Surgery Protocols,2468-3574
International Journal of Thermofluids,2666-2027
International Journal of Transportation Science and Technology,2046-0430
International Journal of Women's Dermatology,2352-6475
Internet Interventions,2214-7829
JAAD Case Reports,2352-5126
JAAD International,2666-3287
JACC: Basic to Translational Science,2452-302X
JACC: CardioOncology,2666-0873
JACC: Case Reports,2666-0849
Japanese Dental Science Review,1882-7616
JHEP Reports,2589-5559
Jornal de Pediatria,0021-7557
Jornal de Pediatria (Versão em Português),2255-5536
Journal of Acupuncture & Meridian Studies,2005-2901
Journal of Advanced Joining Processes,2666-3309
Journal of Advanced Research,2090-1232
Journal of Agriculture and Food Research,2666-1543
Journal of Applied Poultry Research,1056-6171
Journal of Asian Earth Sciences: X,2590-0560
Journal of Asia-Pacific Biodiversity,2287-884X
Journal of Ayurveda and Integrative Medicine,0975-9476
Journal of Biomedical Informatics: X,2590-177X
Journal of Biotechnology: X,2590-1559
Journal of Bone Oncology,2212-1374
Journal of Clinical and Translational Endocrinology,2214-6237
Journal of Clinical and Translational Endocrinology Case Reports,2214-6245
Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,2405-5794
Journal of Coloproctology,2237-9363
Journal of Computational Physics: X,2590-0552
Journal of Dental Sciences,1991-7902
Journal of Dentistry: X,2589-7004
Journal of EuCornea,2452-4034
Journal of Exercise Science & Fitness,1728-869X
Journal of Ginseng Research,1226-8453
Journal of Global Antimicrobial Resistance,2213-7165
Journal of Hand Surgery Global Online,2589-5141
Journal of Hydrology: Regional Studies,2214-5818
Journal of Hydrology X,2589-9155
Journal of Infection and Public Health,1876-0341
Journal of Innovation & Knowledge,2444-569X
Journal of Integrative Agriculture,2095-3119
Journal of King Saud University - Computer and Information Sciences,1319-1578
Journal of King Saud University - Engineering Sciences,1018-3639
Journal of King Saud University - Science,1018-3647
Journal of Magnetic Resonance Open,2666-4410
Journal of Materials Research and Technology,2238-7854
Journal of Materiomics,2352-8478
"Journal of Microbiology, Immunology and Infection",1684-1182
Journal of Migration and Health,2666-6235
Journal of Non-Crystalline Solids: X,2590-1591
Journal of Ocean Engineering and Science,2468-0133
Journal of Optometry,1888-4296
Journal of Orthopaedic Translation,2214-031X
Journal of Otology,1672-2930
Journal of Pediatric Surgery Case Reports,2213-5766
Journal of Pharmaceutical Analysis,2095-1779
Journal of Pharmacological Sciences,1347-8613
Journal of Photochemistry and Photobiology,2666-4690
Journal of Physiotherapy,1836-9553
Journal of Power Sources Advances,2666-2485
Journal of Public Economics Plus,2666-5514
Journal of Rock Mechanics and Geotechnical Engineering,1674-7755
Journal of Saudi Chemical Society,1319-6103
Journal of Science: Advanced Materials and Devices,2468-2179
Journal of Sport and Health Science,2095-2546
Journal of Structural Biology: X,2590-1524
Journal of Taibah University Medical Sciences,1658-3612
Journal of the Formosan Medical Association,0929-6646
Journal of the Saudi Society of Agricultural Sciences,1658-077X
Journal of Traditional and Complementary Medicine,2225-4110
Journal of Traditional Chinese Medical Sciences,2095-7548
Journal of Translational Autoimmunity,2589-9090
Journal of Urban Management,2226-5856
Journal of Vascular Surgery Cases and Innovative Techniques,2468-4287
JPRAS Open,2352-5878
JSES International,2666-6383
JTCVS Open,2666-2736
JTCVS Techniques,2666-2507
JTO Clinical and Research Reports,2666-3643
JVS: Vascular Science,2666-3503
Kidney International Reports,2468-0249
Kidney Medicine,2590-0595
La Presse Médicale Open,2590-2504
Latin American Journal of Central Banking,2666-1438
Leukemia Research Reports,2213-0489
Materials & Design,0264-1275
Materials Letters: X,2590-1508
Materials Today Advances,2590-0498
Materials Today Bio,2590-0064
Matrix Biology Plus,2590-0285
"Mayo Clinic Proceedings: Innovations, Quality & Outcomes",2542-4548
Measurement: Sensors,2665-9174
Medical Mycology Case Reports,2211-7539
Medicina Clínica Práctica,2603-9249
Medicine in Drug Discovery,2590-0986
Medicine in Microecology,2590-0978
Medicine in Novel Technology and Devices,2590-0935
Medicine in Omics,2590-1249
Metabolic Engineering Communications,2214-0301
Metabolism Open,2589-9368
Methods in Psychology,2590-2601
MethodsX,2215-0161
Micro and Nano Engineering,2590-0072
Molecular Data Science,2590-0633
Molecular Genetics and Metabolism Reports,2214-4269
Molecular Metabolism,2212-8778
Nefrología,0211-6995
Nefrología (English Edition),2013-2514
Neoplasia,1476-5586
Neurobiology of Aging Science,2589-9589
Neurobiology of Disease,0969-9961
Neurobiology of Pain,2452-073X
Neurobiology of Sleep and Circadian Rhythms,2451-9944
Neurobiology of Stress,2352-2895
NeuroImage,1053-8119
NeuroImage: Clinical,2213-1582
New Microbes and New Infections,2052-2975
NFS Journal,2352-3646
Nuclear Engineering and Technology,1738-5733
Nuclear Materials and Energy,2352-1791
Nuclear Physics B,0550-3213
Nutrition: X,2665-9026
Oceanologia,0078-3234
One Health,2352-7714
Open Ceramics,2666-5395
OpenNano,2352-9520
Open Respiratory Archives,2659-6636
Operations Research Perspectives,2214-7160
Optical Materials: X,2590-1478
Oral and Maxillofacial Surgery Cases,2214-5419
Ore and Energy Resource Geology,2666-2612
Organs-on-a-Chip,2666-1020
Osteoarthritis and Cartilage Open,2665-9131
Osteoporosis and Sarcopenia,2405-5255
Otolaryngology Case Reports,2468-5488
Papillomavirus Research,2405-8521
Parasite Epidemiology and Control,2405-6731
Pediatric Hematology Oncology Journal,2468-1245
Pediatrics and Neonatology,1875-9572
Perspectives in Ecology and Conservation,2530-0644
Photoacoustics,2213-5979
Physics & Imaging in Radiation Oncology,2405-6316
Physics in Medicine,2352-4510
Physics Letters B,0370-2693
Physics Open,2666-0326
Poultry Science,0032-5791
Practical Laboratory Medicine,2352-5517
Preventive Medicine Reports,2211-3355
Procedia CIRP,2212-8271
Progress in Disaster Science,2590-0617
Progress in Natural Science: Materials International,1002-0071
Prostate International,2287-8882
Public Health in Practice,2666-5352
Pulmonology,2531-0437
Quaternary Science Advances,2666-0334
Radiology Case Reports,1930-0433
Radiology of Infectious Diseases,2352-6211
Redox Biology,2213-2317
Regenerative Therapy,2352-3204
Reproductive Biomedicine & Society Online,2405-6618
Research in Globalization,2590-051X
Research Policy: X,2590-1451
"Resources, Conservation & Recycling: X",2590-289X
Respiratory Medicine Case Reports,2213-0071
Respiratory Medicine: X,2590-1435
Results in Applied Mathematics,2590-0374
Results in Chemistry,2211-7156
Results in Control and Optimization,2666-7207
Results in Engineering,2590-1230
Results in Geochemistry,2666-2779
Results in Materials,2590-048X
Results in Physics,2211-3797
Resuscitation Plus,2666-5204
Reviews in Physics,2405-4283
Revista Argentina de Microbiología,0325-7541
Revista Brasileira de Anestesiologia,0034-7094
Revista Colombiana de Cardiología,0120-5633
Revista de Gastroenterología de México,0375-0906
Revista de Gastroenterología de México (English Edition),2255-534X
Revista Médica Clínica Las Condes,0716-8640
Rice Science,1672-6308
Safety and Health at Work,2093-7911
Saudi Dental Journal,1013-9052
Saudi Journal of Biological Sciences,1319-562X
Saudi Pharmaceutical Journal,1319-0164
Schizophrenia Research: Cognition,2215-0013
Science of Remote Sensing,2666-0172
Scientific African,2468-2276
Sensing and Bio-Sensing Research,2214-1804
Sensors and Actuators Reports,2666-0539
Sexual Medicine,2050-1161
"She Ji: The Journal of Design, Economics, and Innovation",2405-8726
Sleep Medicine: X,2590-1427
Social Sciences & Humanities Open,2590-2911
Soft Computing Letters,2666-2221
Software Impacts,2665-9638
SoftwareX,2352-7110
Soils and Foundations,0038-0806
Solid Earth Sciences,2451-912X
South African Journal of Chemical Engineering,1026-9185
SSM - Mental Health,2666-5603
SSM - Population Health,2352-8273
Stem Cell Research,1873-5061
Surgery in Practice and Science,2666-2620
Surgery Open Science,2589-8450
Sustainable Futures,2666-1888
Taiwanese Journal of Obstetrics & Gynecology,1028-4559
Technical Innovations & Patient Support in Radiation Oncology,2405-6324
The American Journal of Preventive Cardiology,2666-6677
The Asian Journal of Shipping and Logistics,2092-5212
The Brazilian Journal of Infectious Diseases,1413-8670
The Breast,0960-9776
The Cell Surface,2468-2330
The Egyptian Journal of Remote Sensing and Space Sciences,1110-9823
The Egyptian Rheumatologist,1110-1164
The Journal of Pediatrics: X,2590-0420
The Lancet Digital Health,2589-7500
The Lancet Global Health,2214-109X
The Lancet Planetary Health,2542-5196
The Lancet Public Health,2468-2667
Theoretical and Applied Mechanics Letters,2095-0349
Thrombosis Update,2666-5727
Toxicology Reports,2214-7500
Toxicon: X,2590-1710
Translational Oncology,1936-5233
Translational Research in Anatomy,2214-854X
Transplantation Reports,2451-9596
Transportation Engineering,2666-691X
Transportation Research Interdisciplinary Perspectives,2590-1982
Trauma Case Reports,2352-6440
"Trees, Forests and People",2666-7193
Urology Case Reports,2214-4420
Urology Video Journal,2590-0897
Vaccine: X,2590-1362
Veterinary and Animal Science,2451-943X
Veterinary Parasitology: X,2590-1389
VideoGIE,2468-4481
Visual Informatics,2468-502X
Water Research X,2589-9147
Water Resources and Industry,2212-3717
Water Science and Engineering,1674-2370
Weather and Climate Extremes,2212-0947
"Wellbeing, Space and Society",2666-5581
Wine Economics and Policy,2212-9774
World Allergy Organization Journal,1939-4551
World Neurosurgery: X,2590-1397
