Journal,Num reviews
Food Policy,1
Foot & Ankle International,5
Foot & Ankle Orthopaedics,3
Foot & Ankle Specialist,1
Forest Ecology and Management,1
Forestry,1
Forests,2
Frontiers in Aging Neuroscience,2
Frontiers in Behavioral Neuroscience,7
Frontiers in Brain Imaging Methods,1
Frontiers in Cellular Neuroscience,2
Frontiers in Cellular and Infection Microbiology,2
Frontiers in Computational Neuroscience,2
Frontiers in Ecology and the Environment,1
Frontiers in Endocrinology,1
Frontiers in Genetics,5
Frontiers in Human Neuroscience,33
Frontiers in Immunology,5
Frontiers in Integrative Neuroscience,43
Frontiers in Medicine,2
Frontiers in Microbiology,12
Frontiers in Molecular Neuroscience,1
Frontiers in Neural Circuits,3
Frontiers in Neuroanatomy,1
Frontiers in Neuroengineering,3
Frontiers in Neuroinformatics,2
Frontiers in Neurology,10
Frontiers in Neuroscience,20
Frontiers in Oncology,11
Frontiers in Pediatrics,4
Frontiers in Pharmacology,1
Frontiers in Plant Physiology,1
Frontiers in Plant Science,2
Frontiers in Psychiatry,6
Frontiers in Psychology,44
Frontiers in Public Health,1
Frontiers in Synaptic Neuroscience,2
Frontiers in Systems Neuroscience,27
Fuel Cells,1
Functional Ecology,7
Future Oncology,1
Future Science OA,1
G3: Genes|Genomes|Genetics,1
Gastroenterology,25
Gastroenterology & Hepatology,1
Gastroenterology Research and Practice,1
"Genes, Brain and Behavior",1
Genetics,1
Genetics in Medicine,3
Geoforum,1
Geophysical Research Letters,2
Geriatrics,1
Gerontology and Geriatrics Research,1
GigaScience,1
Global Change Biology,10
Global Ecology and Biogeography,4
Global Networks,2
Governance,2
Green Chemistry,2
Head & Neck,3
Health & Social Care in the Community,30
Health Affairs,2
Health Economics,2
Health Information Management Journal,1
Health Policy,1
Health Psychology,2
Health Services Research,3
Healthcare,1
Hematological Oncology,2
Hepatology,29
Hepatology Communications,1
Heredity,2
High Performance Polymers,1
Hipogrifo-Revista de Literatura Y Cultura del Siglo de Oro,1
Hispanofila,1
Hospital Practice,1
Human Brain Mapping,23
Human Immunology,1
Human Mutation,3
Hydrobiologia,5
Hydrological Processes,12
Hypertension,1
IEEE Access,2
IEEE Conference on Local Computer Networks,1
IEEE Geoscience and Remote Sensing Letters,1
IEEE International Conference on Smart Grid Communications,1
IEEE Magnetics Letters,1
IEEE Transactions on Antennas and Propagation,1
IEEE Transactions on Biomedical Engineering,24
IEEE Transactions on Electron Devices,2
IEEE Transactions on Geoscience and Remote Sensing,2
IEEE Transactions on Magnetics,1
IEEE Transactions on Medical Imaging,3
IEEE Transactions on Neural Systems and Rehabilitation Engineering,3
IEEE Transactions on Power Electronics,1
IEEE Transactions on Signal Processing,2
"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",4
IEEE Visualization - (VIS),1
"IET Microwaves, Antennas and Propagation",3
ISBT Science Series,1
Immunologic Research,1
Immunological Investigations,1
Immunology,2
Indian Heart Journal,1
Indoor Air,1
Industrial & Engineering Chemistry Research,1
Infant and Child Development,3
Infection and Immunity,2
Influenza and Other Respiratory Viruses,10
Information Visualization,3
"Information, Communication & Society",7
Insect Molecular Biology,1
Integrated Environmental Assessment and Management,2
Intelligence,1
Interactive Cardiovascular and Thoracic Surgery,4
Interdisciplinary Sciences: Computational Life Sciences,19
Internal Medicine Journal,2
International Conference on Social Informatics (SocInfo),3
International Health,1
International Immunopharmacology,18
International Information & Library Review,12
International Journal for Numerical Methods in Biomedical Engineering,1
International Journal for Numerical Methods in Engineering,29
International Journal for Quality in Health Care,2
International Journal of Antimicrobial Agents,18
International Journal of Biological Sciences,4
International Journal of Cancer,3
International Journal of Cardiology,1
International Journal of Chronic Obstructive Pulmonary Disease,4
International Journal of Clinical Cardiology,1
International Journal of Communication,1
International Journal of Comparative Sociology,1
International Journal of Environmental Research and Public Health,6
International Journal of Hyperthermia,24
International Journal of Imaging Systems and Technology,2
International Journal of Iron & Steel Society of Iran,1
International Journal of Molecular Medicine,6
International Journal of Molecular Sciences,17
International Journal of Nanomedicine,53
International Journal of Nanoscience,1
"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",4
International Journal of Oncology,1
International Journal of Polymeric Materials and Polymeric Biomaterials,4
International Journal of Press/Politics,2
International Journal of Primatology,5
International Journal of Psychiatry in Clinical Practice,1
International Journal of Psychophysiology,4
International Journal of Qualitative Methods,1
International Journal of Quantum Chemistry,15
International Journal of Radiation Biology,4
International Journal of Radiation Oncology Biology Physics,6
International Journal of Remote Sensing,3
International Journal of Rheumatic Diseases,2
International Journal of Sociology and Social Policy,1
International Journal of Sustainable Energy,1
International Journal of Urology,4
International Migration Review,1
International Organization,1
International Review of Social Research,1
International Semantic Web Applications and Tools for Life Sciences Conference,2
International Social Work,4
International Society for Magnetic Resonance in Medicine Annual Meeting,1
International Studies Quarterly,2
International Urology and Nephrology,1
Internet Research,2
Inverse Problems in Science and Engineering,1
JACC: Cardiovascular Interventions,2
JACC: Heart Failure,1
JAIDS Journal of Acquired Immune Deficiency Syndromes,1
JAMA,5
JAMA Cardiology,6
JAMA Network Open,13
JAMA Oncology,1
JAMA Pediatrics,4
JAMA Surgery,1
JCI Insight,4
JCMS: Journal of Common Market Studies,1
JMM International Journal on Media Management,1
JNCCN–Journal of the National Comprehensive Cancer Network,2
JSM Biomarkers,1
Journal for ImmunoTherapy of Cancer,10
Journal for the Scientific Study of Religion,5
Journal of Advanced Nursing,1
Journal of Affective Disorders,5
Journal of Aging Science,3
Journal of Aging and Health,5
Journal of Agricultural and Resource Economics,1
Journal of Anatomy,1
Journal of Animal Ecology,5
Journal of Antimicrobial Chemotherapy,4
Journal of Applied Animal Welfare Science,2
Journal of Applied Biobehavioral Research,1
Journal of Applied Clinical Medical Physics,2
Journal of Applied Ecology,3
Journal of Applied Meteorology and Climatology,8
Journal of Applied Physics,13
Journal of Asian and African Studies,1
Journal of Attention Disorders,2
Journal of Bioactive and Compatible Polymers,6
Journal of Biogeography,4
Journal of Biological Chemistry,42
Journal of Biomaterials Applications,7
"Journal of Biomaterials Science, Polymer Edition",1
Journal of Biomaterials and Tissue Engineering,1
Journal of Biomechanics,2
Journal of Biomedical Informatics,11
Journal of Biomedical Optics,2
Journal of Biomolecular Structure and Dynamics,1
Journal of Biopharmaceutical Statistics,1
Journal of Business Ethics,1
Journal of Business Finance & Accounting,1
Journal of Business and Economic Statistics,1
Journal of Cancer,1
Journal of Cancer Research and Immuno-Oncology,2
Journal of Cardiovascular Electrophysiology,26
Journal of Cell Science & Therapy,1
Journal of Cellular Biochemistry,2
Journal of Cellular and Molecular Medicine,4
Journal of Cerebral Blood Flow & Metabolism,1
Journal of Cheminformatics,1
Journal of Child Psychology and Psychiatry,6
Journal of Circulating Biomarkers,2
Journal of Civil Society,1
Journal of Climate,1
Journal of Clinical Epidemiology,1
Journal of Clinical Investigation,43
Journal of Clinical Medicine,4
Journal of Clinical Microbiology,2
Journal of Clinical Nursing,7
Journal of Clinical Oncology,3
Journal of Cognitive Neuroscience,7
Journal of Cognitive Psychology,1
Journal of Communication,2
Journal of Comparative Effectiveness Research,1
Journal of Comparative Neurology,4
Journal of Comparative Policy Analysis: Research and Practice,1
Journal of Comparative Psychology,2
Journal of Composite Materials,2
Journal of Computational Chemistry,13
Journal of Computer-Mediated Communication,1
Journal of Consulting and Clinical Psychology,4
Journal of Controlled Release,10
Journal of Critical Care,1
Journal of Developmental & Behavioral Pediatrics,4
Journal of Digestive Diseases,1
Journal of Drug Delivery Science and Technology,1
Journal of Ecology,8
Journal of Empirical Legal Studies,1
Journal of Empirical Research on Human Research Ethics,1
Journal of Engineering Mathematics,1
Journal of Engineering and Science in Medical Diagnostics and Therapy,1
Journal of Environmental Economics and Management,1
Journal of Environmental Planning and Management,2
Journal of Environmental Studies and Sciences,1
Journal of Experimental Botany,4
Journal of Experimental Nanoscience,1
Journal of Experimental Pharmacology,1
Journal of Experimental Psychology: General,2
"Journal of Experimental Psychology: Learning, Memory, and Cognition",3
Journal of Experimental Social Psychology,1
Journal of Exposure Science and Environmental Epidemiology,1
Journal of Field Ornithology,3
Journal of Fluid Mechanics,2
Journal of Fungi,2
Journal of General Virology,3
Journal of Geophysical Research: Atmospheres,4
Journal of Geophysical Research: Biogeosciences,2
Journal of Hazardous Materials,7
Journal of Health Services Research & Policy,1
Journal of Hematology & Oncology,1
Journal of Hepatology,3
Journal of Hospital Medicine,1
Journal of Human Trafficking,9
Journal of Hydraulic Engineering,1
Journal of Hydrometeorology,1
Journal of Industrial Textiles,6
Journal of Inflammation Research,1
Journal of Information Science,1
Journal of Information Technology & Politics,1
Journal of Innate Immunity,1
Journal of International Medical Research,3
Journal of Labor Economics,1
Journal of Low Temperature Physics,4
Journal of Magnetic Resonance Imaging,40
Journal of Materials Chemistry A,13
Journal of Materials Chemistry B,4
Journal of Materials Chemistry C,16
Journal of Materials Science and Chemical Engineering,6
Journal of Medical Imaging,1
Journal of Medical Internet Research,1
Journal of Medical Microbiology,1
Journal of Medical Virology,13
Journal of Medical and Biological Engineering,2
Journal of Molecular Structure,1
Journal of Neural Engineering,25
Journal of Neuro-Oncology and Neuroscience,1
Journal of Neurochemistry,1
Journal of Neuroendocrinology,2
Journal of Neurology and Neuroscience,17
Journal of Neurophysiology,1
Journal of Neuropsychiatry,1
Journal of Neuroscience Methods,2
Journal of Neuroscience Nursing,1
Journal of Neuroscience Research,5
"Journal of Neuroscience, Psychology, and Economics",1
Journal of Nonlinear Science,1
Journal of Nonparametric Statistics,1
Journal of Nuclear Medicine,1
Journal of Nursing Management,4
Journal of Oncology Practice,1
Journal of Open Research Software,1
Journal of Open Source Software,1
Journal of Pain Research,2
Journal of Pain and Symptom Management,3
Journal of Palliative Care,1
Journal of Palliative Medicine,3
Journal of Patient-Centered Research and Reviews,1
Journal of Pediatric Infectious Diseases,2
Journal of Pediatric Intensive Care,1
Journal of Pediatric Nursing,2
Journal of Perinatology,2
Journal of Personality and Social Psychology,1
Journal of Pharmacological Sciences,2
Journal of Pharmacy and Pharmacology,2
Journal of Photochemistry and Photobiology B: Biology,28
Journal of Physical Organic Chemistry,1
"Journal of Physics B: Atomic, Molecular and Optical Physics",3
Journal of Physics Communications,4
Journal of Physics D: Applied Physics,9
Journal of Physics: Condensed Matter,1
Journal of Plant Chemistry and Ecophysiology,1
Journal of Plant Ecology,1
"Journal of Polymer Science, Part A: Polymer Chemistry",2
Journal of Probability and Statistics,2
Journal of Psychopharmacology,1
Journal of Public Policy,1
Journal of Radiological Protection,7
Journal of Renewable and Sustainable Energy,3
Journal of Reproductive and Infant Psychology,1
Journal of Research on Adolescence,4
Journal of Rural Studies,1
Journal of Saudi Chemical Society,7
Journal of School Nursing,4
Journal of Science: Advanced Materials and Devices,4
Journal of Sleep Research,3
Journal of Small Animal Practice,2
Journal of Social Service Research,14
Journal of Social and Personal Relationships,1
Journal of Sociolinguistics,2
Journal of Sound and Vibration,2
"Journal of Speech, Language, and Hearing Research",2
Journal of Statistical Physics,4
Journal of Statistical Software,2
Journal of Statistical Theory and Practice,2
Journal of Stem Cell Biology and Transplantation,1
Journal of Stem Cell Research & Therapy,4
Journal of Surgical Oncology,7
Journal of Testing and Evaluation,2
Journal of Thoracic Disease,1
Journal of Threatened Taxa,1
Journal of Thrombosis and Haemostasis,1
Journal of Thrombosis and Thrombolysis,2
Journal of Traditional and Complementary Medicine,5
Journal of Transcultural Nursing,2
Journal of Translational Genetics and Genomics,1
Journal of Translational Medicine,2
Journal of Tropical Ecology,1
Journal of Ultrasound in Medicine,5
Journal of Unmanned Vehicle Systems,2
Journal of Veterinary Behavior: Clinical Applications and Research,1
Journal of Virology,47
Journal of Visualized Experiments,1
"Journal of Women, Politics & Policy",1
Journal of Wound Care,2
Journal of the American Academy of Child & Adolescent Psychiatry,3
Journal of the American Chemical Society,26
Journal of the American College of Cardiology,1
Journal of the American Geriatrics Society,16
Journal of the American Heart Association,1
Journal of the American Medical Informatics Association: JAMIA,1
Journal of the American Psychiatric Nurses Association,4
Journal of the American Society of Nephrology,1
Journal of the American Statistical Association,1
Journal of the Chinese Institute of Engineers,1
Journal of the International Association of Providers of AIDS Care,1
Journal of the Medical Library Association,1
Journal of the Royal Society Interface,5
Journal of the Royal Statistical Society: Series A (Statistics in Society),1
Journalism Studies,1
Journalism and Mass Communication Quarterly,1
Kidney International,4
Kidney International Reports,2
La Prensa Medica,1
Land,1
Landscape Ecology,4
Language Sciences,1
Laryngoscope Investigative Otolaryngology,2
Learning Health Systems,2
Learning and Behavior,1
Letras Hispanas,1
Leukemia & Lymphoma,1
Lichenologist,1
Life Sciences,2
Limnology and Oceanography: Methods,1
Liver Transplantation,9
MOJ Cell Science & Report,1
Macromolecular Research,2
Magnetic Resonance Imaging,2
Magnetic Resonance in Medicine,40
Mammal Review,1
Management Science,3
Marine Drugs,2
Marine Ecology Progress Series,1
Marine Mammal Science,4
Marine Pollution Bulletin,1
Materials,7
Materials Chemistry Frontiers,1
Materials Horizons,4
Materials Research Express,6
Materials Research Society (MRS) Fall Meeting and Exhibit,1
Materials Technology,2
Materials Today Chemistry,1
Mathematical Methods in the Applied Sciences,1
"Media, Culture and Society",1
Medical Care,1
Medical Care Research and Review,1
Medical Mycology,1
Medical Physics,5
Medical Science Monitor,3
Medical Sciences,1
Medicinal Chemistry,1
Medicine,144
Medicines,1
Memoria Y Civilización,1
Memory,1
Memory & Cognition,1
Metabolites,1
Metallomics,2
Methods in Ecology and Evolution,3
Microbiome,2
Microelectronics Journal,2
Micromachines,17
Micron,1
Microorganisms,1
Microscopy Research and Technique,13
Microscopy and Microanalysis,1
Microvascular Research,1
Modern Language Review,1
Molecular Biology Reports,1
Molecular Biology and Evolution,1
Molecular Brain,1
Molecular Carcinogenesis,1
Molecular Ecology,33
Molecular Ecology Resources,7
Molecular Medicine Reports,16
Molecular Metabolism,5
Molecular Microbiology,2
Molecular Phylogenetics and Evolution,3
Molecular Psychiatry,2
Molecular Therapy,1
Molecular and Cellular Biochemistry,1
Molecular and Clinical Oncology,2
Molecules,8
Motivation Science,1
Muscle and Nerve,1
NMR in Biomedicine,9
Nano Letters,7
NanoImpact,1
Nanomaterials,2
Nanoscale,14
Nanoscale Horizons,1
Nanoscale Research Letters,8
Nanotechnology,16
Nature,2
Nature Biomedical Engineering,2
Nature Biotechnology,2
Nature Climate Change,3
Nature Communications,30
Nature Ecology & Evolution,3
Nature Geoscience,1
Nature Human Behaviour,5
Nature Immunology,1
Nature Medicine,2
Nature Metabolism,1
Nature Neuroscience,1
Natureza Online,2
Neoplasma,19
Nephrology,3
Nephrology Dialysis Transplantation,2
Neural Development,1
NeuroImage,41
NeuroImage: Clinical,4
Neurobiology of Aging,12
Neurobiology of Learning and Memory,1
Neurochemistry International,2
Neuromodulation: Technology at the Neural Interface,8
Neuron,1
Neuropharmacology,4
Neuropsychologia,7
Neuropsychology,1
Neuroscience,2
Neuroscience Letters,2
Neuroscience Research,3
Neuroscience and Biobehavioral Reviews,1
Neurosurgery,1
New England Journal of Medicine,1
New Media & Society,8
New Microbes and New Infections,5
New Phytologist,8
"New Technology, Work and Employment",2
Nicotine & Tobacco Research,2
Nitric Oxide - Biology and Chemistry,1
Nonlinearity,4
Nonprofit Management and Leadership,4
Nonprofit and Voluntary Sector Quarterly,4
Npj Precision Oncology,1
"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",1
Nuclear Science and Techniques,2
Nucleic Acids Research,3
Numerical Methods for Partial Differential Equations,1
Nursing & Health Sciences,1
Nursing Inquiry,2
Nutrients,1
Nutritional Neuroscience,6
Obesity,1
Obstetrics & Gynecology,1
Oecologia,3
Oikos,10
OncoImmunology,2
OncoTargets and Therapy,25
Oncogene,13
Oncology Letters,10
Oncology Reports,1
Oncotarget,63
Open Forum Infectious Diseases,1
Open Medicine,2
Operative Neurosurgery,1
Opiniao Publica,1
Optical Materials Express,1
Optics Express,4
Organic & Biomolecular Chemistry,3
Organic Letters,9
Oxford Development Studies,1
PAIN,1
PLOS Computational Biology,13
PLOS Genetics,2
PLOS Medicine,1
PLOS Pathogens,28
PLoS Biology,2
PLoS Neglected Tropical Diseases,1
PS: Political Science & Politics,4
Pacing and Clinical Electrophysiology,36
Paediatric & Perinatal Epidemiology,1
Pathogens,2
Pediatric Anesthesia,4
Pediatric Blood and Cancer,5
Pediatric Critical Care Medicine,10
Pediatric Dermatology,2
Pediatric Pulmonology,28
Pediatric Transplantation,16
"Pediatric, Allergy, Immunology, and Pulmonology",9
Pediatrics,7
PeerJ,24
Personality and Social Psychology Bulletin,1
"Perspectives in Plant Ecology, Evolution and Systematics",1
Perspectives on Medical Education,1
Perspectives on Psychological Science,2
Pharmaceutical Statistics,1
Pharmaceutics,1
PharmacoEconomics - Open,1
Pharmacoepidemiology and Drug Safety,5
Pharmacogenomics and Personalized Medicine,2
Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy,6
PhenoDays International Symposium,3
Philosophical Transactions of the Royal Society B: Biological Sciences,2
Photochemistry & Photobiology,2
Physica Medica,2
Physical Biology,3
Physical Chemistry Chemical Physics,20
Physical Review Applied,11
Physical Review Letters,4
Physical Review Materials,1
Physical Review Special Topics - Accelerators and Beams,2
Physics Letters A,1
Physics in Medicine and Biology,19
Physics of Fluids,9
Physiological Reports,3
Phytotherapy Research,1
