journal,ISSN,EncodedTitle
Composites Part C: Open Access,26666820,Composites%20Part%20C%3A%20Open%20Access
Comprehensive Psychiatry,0010440X,Comprehensive%20Psychiatry
Comprehensive Psychoneuroendocrinology,26664976,Comprehensive%20Psychoneuroendocrinology
Computational and Structural Biotechnology Journal,20010370,Computational%20and%20Structural%20Biotechnology%20Journal
Computers and Education Open,26665573,Computers%20and%20Education%20Open
Computers in Human Behavior Reports,24519588,Computers%20in%20Human%20Behavior%20Reports
Contemporary Clinical Trials Communications,24518654,Contemporary%20Clinical%20Trials%20Communications
Contraception: X,25901516,Contraception%3A%20X
Current Plant Biology,22146628,Current%20Plant%20Biology
Current Problems in Cancer: Case Reports,26666219,Current%20Problems%20in%20Cancer%3A%20Case%20Reports
Current Research in Behavioral Sciences,26665182,Current%20Research%20in%20Behavioral%20Sciences
Current Research in Biotechnology,25902628,Current%20Research%20in%20Biotechnology
Current Research in Cell Biology,25902636,Current%20Research%20in%20Cell%20Biology
Current Research in Chemical Biology,26662469,Current%20Research%20in%20Chemical%20Biology
Current Research in Ecological and Social Psychology,26666227,Current%20Research%20in%20Ecological%20and%20Social%20Psychology
Current Research in Environmental Sustainability,26660490,Current%20Research%20in%20Environmental%20Sustainability
Current Research in Food Science,26659271,Current%20Research%20in%20Food%20Science
Current Research in Genetics & Development,26659298,Current%20Research%20in%20Genetics%20%26%20Development
Current Research in Green and Sustainable Chemistry,26660865,Current%20Research%20in%20Green%20and%20Sustainable%20Chemistry
Current Research in Immunology,25902555,Current%20Research%20in%20Immunology
Current Research in Insect Science,26665158,Current%20Research%20in%20Insect%20Science
Current Research in Microbial Sciences,26665174,Current%20Research%20in%20Microbial%20Sciences
Current Research in Neurobiology,2665945X,Current%20Research%20in%20Neurobiology
Current Research in Pharmacology and Drug Discovery,25902571,Current%20Research%20in%20Pharmacology%20and%20Drug%20Discovery
Current Research in Physiology,26659441,Current%20Research%20in%20Physiology
Current Research in Structural Biology,2665928X,Current%20Research%20in%20Structural%20Biology
Current Research in Toxicology,2666027X,Current%20Research%20in%20Toxicology
Current Research in Virological Science,2666478X,Current%20Research%20in%20Virological%20Science
Current Therapeutic Research,0011393X,Current%20Therapeutic%20Research
Cytokine: X,25901532,Cytokine%3A%20X
Data in Brief,23523409,Data%20in%20Brief
Dementia Science - Cognition and Behavior,26664593,Dementia%20Science%20-%20Cognition%20and%20Behavior
Developmental Cognitive Neuroscience,18789293,Developmental%20Cognitive%20Neuroscience
Development Engineering,23527285,Development%20Engineering
Developments in the Built Environment,26661659,Developments%20in%20the%20Built%20Environment
Diabetes & Metabolism: X,25901540,Diabetes%20%26%20Metabolism%3A%20X
Digital Geography and Society,26663783,Digital%20Geography%20and%20Society
Earth System Governance,25898116,Earth%20System%20Governance
EBioMedicine,23523964,EBioMedicine
EClinicalMedicine,25895370,EClinicalMedicine
Ecological Engineering: X,25902903,Ecological%20Engineering%3A%20X
EconomiA,15177580,EconomiA
Educación Médica,15751813,Educaci%C3%B3n%20M%C3%A9dica
Egyptian Informatics Journal,11108665,Egyptian%20Informatics%20Journal
Egyptian Journal of Aquatic Research,16874285,Egyptian%20Journal%20of%20Aquatic%20Research
Egyptian Journal of Petroleum,11100621,Egyptian%20Journal%20of%20Petroleum
EJVES Vascular Forum,2666688X,EJVES%20Vascular%20Forum
Electrochemistry Communications,13882481,Electrochemistry%20Communications
Electronic Journal of Biotechnology,07173458,Electronic%20Journal%20of%20Biotechnology
Endocrine and Metabolic Science,26663961,Endocrine%20and%20Metabolic%20Science
Energy and AI,26665468,Energy%20and%20AI
Energy Conversion and Management: X,25901745,Energy%20Conversion%20and%20Management%3A%20X
Energy Reports,23524847,Energy%20Reports
Energy Strategy Reviews,2211467X,Energy%20Strategy%20Reviews
eNeurologicalSci,24056502,eNeurologicalSci
Engineering,20958099,Engineering
"Engineering Science and Technology, an International Journal",22150986,Engineering%20Science%20and%20Technology%2C%20an%20International%20Journal
Environmental and Sustainability Indicators,26659727,Environmental%20and%20Sustainability%20Indicators
Environmental Science & Ecotechnology,26664984,Environmental%20Science%20%26%20Ecotechnology
Environment International,01604120,Environment%20International
Epidemics,17554365,Epidemics
Epilepsy & Behavior Reports,25899864,Epilepsy%20%26%20Behavior%20Reports
EuPA Open Proteomics,22129685,EuPA%20Open%20Proteomics
EURO Journal on Transportation and Logistics,21924376,EURO%20Journal%20on%20Transportation%20and%20Logistics
European Economic Review Plus,26665506,European%20Economic%20Review%20Plus
European Journal of Cancer - Supplement,13596349,European%20Journal%20of%20Cancer%20-%20Supplement
European Journal of Obstetrics & Gynecology and Reproductive Biology: X,25901613,European%20Journal%20of%20Obstetrics%20%26%20Gynecology%20and%20Reproductive%20Biology%3A%20X
European Journal of Radiology Open,23520477,European%20Journal%20of%20Radiology%20Open
European Research on Management and Business Economics,24448834,European%20Research%20on%20Management%20and%20Business%20Economics
European Urology Open Science,26661691,European%20Urology%20Open%20Science
Examples and Counterexamples,2666657X,Examples%20and%20Counterexamples
Expert Systems with Applications: X,25901885,Expert%20Systems%20with%20Applications%3A%20X
F&S Reports,26663341,F%26S%20Reports
Food and Waterborne Parasitology,24056766,Food%20and%20Waterborne%20Parasitology
Food Chemistry: Molecular Sciences,26665662,Food%20Chemistry%3A%20Molecular%20Sciences
Food Chemistry: X,25901575,Food%20Chemistry%3A%20X
Forces in Mechanics,26663597,Forces%20in%20Mechanics
Forensic Science International: Mind and Law,26663538,Forensic%20Science%20International%3A%20Mind%20and%20Law
Forensic Science International: Reports,26659107,Forensic%20Science%20International%3A%20Reports
Forensic Science International: Synergy,2589871X,Forensic%20Science%20International%3A%20Synergy
Fuel Communications,26660520,Fuel%20Communications
Gaceta Sanitaria,02139111,Gaceta%20Sanitaria
Gene and Genome Editing,26663880,Gene%20and%20Genome%20Editing
Genes and Diseases,23523042,Genes%20and%20Diseases
Gene: X,25901583,Gene%3A%20X
"Genomics, Proteomics & Bioinformatics",16720229,Genomics%2C%20Proteomics%20%26%20Bioinformatics
Geography and Sustainability,26666839,Geography%20and%20Sustainability
Geoscience Frontiers,16749871,Geoscience%20Frontiers
Giant,26665425,Giant
Global Ecology and Conservation,23519894,Global%20Ecology%20and%20Conservation
Global Epidemiology,25901133,Global%20Epidemiology
Global Pasts,26662019,Global%20Pasts
Graphics and Visual Computing,26666294,Graphics%20and%20Visual%20Computing
Gynecologic Oncology Reports,23525789,Gynecologic%20Oncology%20Reports
HardwareX,24680672,HardwareX
Health Policy OPEN,25902296,Health%20Policy%20OPEN
Health Professions Education,24523011,Health%20Professions%20Education
HeartRhythm Case Reports,22140271,HeartRhythm%20Case%20Reports
Heart Rhythm O2,26665018,Heart%20Rhythm%20O2
Hellenic Journal of Cardiology,11099666,Hellenic%20Journal%20of%20Cardiology
Hematology/Oncology and Stem Cell Therapy,16583876,Hematology%2FOncology%20and%20Stem%20Cell%20Therapy
"Hematology, Transfusion and Cell Therapy",25311379,Hematology%2C%20Transfusion%20and%20Cell%20Therapy
Human Microbiome Journal,24522317,Human%20Microbiome%20Journal
Human Nutrition & Metabolism,26661497,Human%20Nutrition%20%26%20Metabolism
Human Pathology: Case Reports,22143300,Human%20Pathology%3A%20Case%20Reports
IATSS Research,03861112,IATSS%20Research
IBRO Reports,24518301,IBRO%20Reports
ICT Express,24059595,ICT%20Express
IDCases,22142509,IDCases
IHJ Cardiovascular Case Reports,2468600X,IHJ%20Cardiovascular%20Case%20Reports
IIMB Management Review,09703896,IIMB%20Management%20Review
IJC Heart & Vasculature,23529067,IJC%20Heart%20%26%20Vasculature
Immuno-Oncology Technology,25900188,Immuno-Oncology%20Technology
Indian Heart Journal,00194832,Indian%20Heart%20Journal
Indian Pacing and Electrophysiology Journal,09726292,Indian%20Pacing%20and%20Electrophysiology%20Journal
Infection Prevention in Practice,25900889,Infection%20Prevention%20in%20Practice
Informatics in Medicine Unlocked,23529148,Informatics%20in%20Medicine%20Unlocked
Integrative Medicine Research,22134220,Integrative%20Medicine%20Research
Intelligence-Based Medicine,26665212,Intelligence-Based%20Medicine
Interdisciplinary Neurosurgery,22147519,Interdisciplinary%20Neurosurgery
International Journal for Parasitology: Drugs and Drug Resistance,22113207,International%20Journal%20for%20Parasitology%3A%20Drugs%20and%20Drug%20Resistance
International Journal for Parasitology: Parasites and Wildlife,22132244,International%20Journal%20for%20Parasitology%3A%20Parasites%20and%20Wildlife
International Journal of Africa Nursing Sciences,22141391,International%20Journal%20of%20Africa%20Nursing%20Sciences
International Journal of Applied Earth Observation and Geoinformation,03032434,International%20Journal%20of%20Applied%20Earth%20Observation%20and%20Geoinformation
International Journal of Cardiology Hypertension,25900862,International%20Journal%20of%20Cardiology%20Hypertension
International Journal of Clinical and Health Psychology,16972600,International%20Journal%20of%20Clinical%20and%20Health%20Psychology
International Journal of Infectious Diseases,12019712,International%20Journal%20of%20Infectious%20Diseases
International Journal of Medical Microbiology,14384221,International%20Journal%20of%20Medical%20Microbiology
International Journal of Mining Science and Technology,20952686,International%20Journal%20of%20Mining%20Science%20and%20Technology
International Journal of Naval Architecture and Ocean Engineering,20926782,International%20Journal%20of%20Naval%20Architecture%20and%20Ocean%20Engineering
International Journal of Nursing Sciences,23520132,International%20Journal%20of%20Nursing%20Sciences
International Journal of Nursing Studies Advances,2666142X,International%20Journal%20of%20Nursing%20Studies%20Advances
International Journal of Pediatrics and Adolescent Medicine,23526467,International%20Journal%20of%20Pediatrics%20and%20Adolescent%20Medicine
International Journal of Pharmaceutics: X,25901567,International%20Journal%20of%20Pharmaceutics%3A%20X
International Journal of Surgery Case Reports,22102612,International%20Journal%20of%20Surgery%20Case%20Reports
International Journal of Surgery Open,24058572,International%20Journal%20of%20Surgery%20Open
International Journal of Surgery Protocols,24683574,International%20Journal%20of%20Surgery%20Protocols
International Journal of Thermofluids,26662027,International%20Journal%20of%20Thermofluids
International Journal of Transportation Science and Technology,20460430,International%20Journal%20of%20Transportation%20Science%20and%20Technology
International Journal of Women's Dermatology,23526475,International%20Journal%20of%20Women%27s%20Dermatology
Internet Interventions,22147829,Internet%20Interventions
JAAD Case Reports,23525126,JAAD%20Case%20Reports
JAAD International,26663287,JAAD%20International
JACC: Basic to Translational Science,2452302X,JACC%3A%20Basic%20to%20Translational%20Science
JACC: CardioOncology,26660873,JACC%3A%20CardioOncology
JACC: Case Reports,26660849,JACC%3A%20Case%20Reports
Japanese Dental Science Review,18827616,Japanese%20Dental%20Science%20Review
JHEP Reports,25895559,JHEP%20Reports
Jornal de Pediatria,00217557,Jornal%20de%20Pediatria
Jornal de Pediatria (Versão em Português),22555536,Jornal%20de%20Pediatria%20%28Vers%C3%A3o%20em%20Portugu%C3%AAs%29
Journal of Acupuncture & Meridian Studies,20052901,Journal%20of%20Acupuncture%20%26%20Meridian%20Studies
Journal of Advanced Joining Processes,26663309,Journal%20of%20Advanced%20Joining%20Processes
Journal of Advanced Research,20901232,Journal%20of%20Advanced%20Research
Journal of Agriculture and Food Research,26661543,Journal%20of%20Agriculture%20and%20Food%20Research
Journal of Applied Poultry Research,10566171,Journal%20of%20Applied%20Poultry%20Research
Journal of Asian Earth Sciences: X,25900560,Journal%20of%20Asian%20Earth%20Sciences%3A%20X
Journal of Asia-Pacific Biodiversity,2287884X,Journal%20of%20Asia-Pacific%20Biodiversity
Journal of Ayurveda and Integrative Medicine,09759476,Journal%20of%20Ayurveda%20and%20Integrative%20Medicine
Journal of Biomedical Informatics: X,2590177X,Journal%20of%20Biomedical%20Informatics%3A%20X
Journal of Biotechnology: X,25901559,Journal%20of%20Biotechnology%3A%20X
Journal of Bone Oncology,22121374,Journal%20of%20Bone%20Oncology
Journal of Clinical and Translational Endocrinology,22146237,Journal%20of%20Clinical%20and%20Translational%20Endocrinology
Journal of Clinical and Translational Endocrinology Case Reports,22146245,Journal%20of%20Clinical%20and%20Translational%20Endocrinology%20Case%20Reports
Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,24055794,Journal%20of%20Clinical%20Tuberculosis%20and%20Other%20Mycobacterial%20Diseases
Journal of Coloproctology,22379363,Journal%20of%20Coloproctology
Journal of Computational Physics: X,25900552,Journal%20of%20Computational%20Physics%3A%20X
Journal of Dental Sciences,19917902,Journal%20of%20Dental%20Sciences
Journal of Dentistry: X,25897004,Journal%20of%20Dentistry%3A%20X
Journal of EuCornea,24524034,Journal%20of%20EuCornea
Journal of Exercise Science & Fitness,1728869X,Journal%20of%20Exercise%20Science%20%26%20Fitness
Journal of Ginseng Research,12268453,Journal%20of%20Ginseng%20Research
Journal of Global Antimicrobial Resistance,22137165,Journal%20of%20Global%20Antimicrobial%20Resistance
Journal of Hand Surgery Global Online,25895141,Journal%20of%20Hand%20Surgery%20Global%20Online
Journal of Hydrology: Regional Studies,22145818,Journal%20of%20Hydrology%3A%20Regional%20Studies
Journal of Hydrology X,25899155,Journal%20of%20Hydrology%20X
Journal of Infection and Public Health,18760341,Journal%20of%20Infection%20and%20Public%20Health
Journal of Innovation & Knowledge,2444569X,Journal%20of%20Innovation%20%26%20Knowledge
Journal of Integrative Agriculture,20953119,Journal%20of%20Integrative%20Agriculture
Journal of King Saud University - Computer and Information Sciences,13191578,Journal%20of%20King%20Saud%20University%20-%20Computer%20and%20Information%20Sciences
Journal of King Saud University - Engineering Sciences,10183639,Journal%20of%20King%20Saud%20University%20-%20Engineering%20Sciences
Journal of King Saud University - Science,10183647,Journal%20of%20King%20Saud%20University%20-%20Science
Journal of Magnetic Resonance Open,26664410,Journal%20of%20Magnetic%20Resonance%20Open
Journal of Materials Research and Technology,22387854,Journal%20of%20Materials%20Research%20and%20Technology
Journal of Materiomics,23528478,Journal%20of%20Materiomics
"Journal of Microbiology, Immunology and Infection",16841182,Journal%20of%20Microbiology%2C%20Immunology%20and%20Infection
Journal of Migration and Health,26666235,Journal%20of%20Migration%20and%20Health
Journal of Non-Crystalline Solids: X,25901591,Journal%20of%20Non-Crystalline%20Solids%3A%20X
Journal of Ocean Engineering and Science,24680133,Journal%20of%20Ocean%20Engineering%20and%20Science
Journal of Optometry,18884296,Journal%20of%20Optometry
Journal of Orthopaedic Translation,2214031X,Journal%20of%20Orthopaedic%20Translation
Journal of Otology,16722930,Journal%20of%20Otology
Journal of Pediatric Surgery Case Reports,22135766,Journal%20of%20Pediatric%20Surgery%20Case%20Reports
Journal of Pharmaceutical Analysis,20951779,Journal%20of%20Pharmaceutical%20Analysis
Journal of Pharmacological Sciences,13478613,Journal%20of%20Pharmacological%20Sciences
Journal of Photochemistry and Photobiology,26664690,Journal%20of%20Photochemistry%20and%20Photobiology
Journal of Physiotherapy,18369553,Journal%20of%20Physiotherapy
Journal of Power Sources Advances,26662485,Journal%20of%20Power%20Sources%20Advances
Journal of Public Economics Plus,26665514,Journal%20of%20Public%20Economics%20Plus
Journal of Rock Mechanics and Geotechnical Engineering,16747755,Journal%20of%20Rock%20Mechanics%20and%20Geotechnical%20Engineering
Journal of Saudi Chemical Society,13196103,Journal%20of%20Saudi%20Chemical%20Society
Journal of Science: Advanced Materials and Devices,24682179,Journal%20of%20Science%3A%20Advanced%20Materials%20and%20Devices
Journal of Sport and Health Science,20952546,Journal%20of%20Sport%20and%20Health%20Science
Journal of Structural Biology: X,25901524,Journal%20of%20Structural%20Biology%3A%20X
Journal of Taibah University Medical Sciences,16583612,Journal%20of%20Taibah%20University%20Medical%20Sciences
Journal of the Formosan Medical Association,09296646,Journal%20of%20the%20Formosan%20Medical%20Association
Journal of the Saudi Society of Agricultural Sciences,1658077X,Journal%20of%20the%20Saudi%20Society%20of%20Agricultural%20Sciences
Journal of Traditional and Complementary Medicine,22254110,Journal%20of%20Traditional%20and%20Complementary%20Medicine
Journal of Traditional Chinese Medical Sciences,20957548,Journal%20of%20Traditional%20Chinese%20Medical%20Sciences
Journal of Translational Autoimmunity,25899090,Journal%20of%20Translational%20Autoimmunity
Journal of Urban Management,22265856,Journal%20of%20Urban%20Management
Journal of Vascular Surgery Cases and Innovative Techniques,24684287,Journal%20of%20Vascular%20Surgery%20Cases%20and%20Innovative%20Techniques
JPRAS Open,23525878,JPRAS%20Open
JSES International,26666383,JSES%20International
JTCVS Open,26662736,JTCVS%20Open
JTCVS Techniques,26662507,JTCVS%20Techniques
JTO Clinical and Research Reports,26663643,JTO%20Clinical%20and%20Research%20Reports
JVS: Vascular Science,26663503,JVS%3A%20Vascular%20Science
Kidney International Reports,24680249,Kidney%20International%20Reports
Kidney Medicine,25900595,Kidney%20Medicine
La Presse Médicale Open,25902504,La%20Presse%20M%C3%A9dicale%20Open
Latin American Journal of Central Banking,26661438,Latin%20American%20Journal%20of%20Central%20Banking
Leukemia Research Reports,22130489,Leukemia%20Research%20Reports
Materials & Design,02641275,Materials%20%26%20Design
Materials Letters: X,25901508,Materials%20Letters%3A%20X
Materials Today Advances,25900498,Materials%20Today%20Advances
Materials Today Bio,25900064,Materials%20Today%20Bio
Matrix Biology Plus,25900285,Matrix%20Biology%20Plus
"Mayo Clinic Proceedings: Innovations, Quality & Outcomes",25424548,Mayo%20Clinic%20Proceedings%3A%20Innovations%2C%20Quality%20%26%20Outcomes
Measurement: Sensors,26659174,Measurement%3A%20Sensors
Medical Mycology Case Reports,22117539,Medical%20Mycology%20Case%20Reports
Medicina Clínica Práctica,26039249,Medicina%20Cl%C3%ADnica%20Pr%C3%A1ctica
Medicine in Drug Discovery,25900986,Medicine%20in%20Drug%20Discovery
Medicine in Microecology,25900978,Medicine%20in%20Microecology
Medicine in Novel Technology and Devices,25900935,Medicine%20in%20Novel%20Technology%20and%20Devices
Medicine in Omics,25901249,Medicine%20in%20Omics
Metabolic Engineering Communications,22140301,Metabolic%20Engineering%20Communications
Metabolism Open,25899368,Metabolism%20Open
Methods in Psychology,25902601,Methods%20in%20Psychology
MethodsX,22150161,MethodsX
Micro and Nano Engineering,25900072,Micro%20and%20Nano%20Engineering
Molecular Data Science,25900633,Molecular%20Data%20Science
Molecular Genetics and Metabolism Reports,22144269,Molecular%20Genetics%20and%20Metabolism%20Reports
Molecular Metabolism,22128778,Molecular%20Metabolism
Nefrología,02116995,Nefrolog%C3%ADa
Nefrología (English Edition),20132514,Nefrolog%C3%ADa%20%28English%20Edition%29
Neoplasia,14765586,Neoplasia
Neurobiology of Aging Science,25899589,Neurobiology%20of%20Aging%20Science
Neurobiology of Disease,09699961,Neurobiology%20of%20Disease
Neurobiology of Pain,2452073X,Neurobiology%20of%20Pain
Neurobiology of Sleep and Circadian Rhythms,24519944,Neurobiology%20of%20Sleep%20and%20Circadian%20Rhythms
Neurobiology of Stress,23522895,Neurobiology%20of%20Stress
NeuroImage,10538119,NeuroImage
NeuroImage: Clinical,22131582,NeuroImage%3A%20Clinical
New Microbes and New Infections,20522975,New%20Microbes%20and%20New%20Infections
NFS Journal,23523646,NFS%20Journal
Nuclear Engineering and Technology,17385733,Nuclear%20Engineering%20and%20Technology
Nuclear Materials and Energy,23521791,Nuclear%20Materials%20and%20Energy
Nuclear Physics B,05503213,Nuclear%20Physics%20B
Nutrition: X,26659026,Nutrition%3A%20X
Oceanologia,00783234,Oceanologia
One Health,23527714,One%20Health
Open Ceramics,26665395,Open%20Ceramics
OpenNano,23529520,OpenNano
Open Respiratory Archives,26596636,Open%20Respiratory%20Archives
Operations Research Perspectives,22147160,Operations%20Research%20Perspectives
Optical Materials: X,25901478,Optical%20Materials%3A%20X
Oral and Maxillofacial Surgery Cases,22145419,Oral%20and%20Maxillofacial%20Surgery%20Cases
Ore and Energy Resource Geology,26662612,Ore%20and%20Energy%20Resource%20Geology
Organs-on-a-Chip,26661020,Organs-on-a-Chip
Osteoarthritis and Cartilage Open,26659131,Osteoarthritis%20and%20Cartilage%20Open
Osteoporosis and Sarcopenia,24055255,Osteoporosis%20and%20Sarcopenia
Otolaryngology Case Reports,24685488,Otolaryngology%20Case%20Reports
Papillomavirus Research,24058521,Papillomavirus%20Research
Parasite Epidemiology and Control,24056731,Parasite%20Epidemiology%20and%20Control
Pediatric Hematology Oncology Journal,24681245,Pediatric%20Hematology%20Oncology%20Journal
Pediatrics and Neonatology,18759572,Pediatrics%20and%20Neonatology
Perspectives in Ecology and Conservation,25300644,Perspectives%20in%20Ecology%20and%20Conservation
Photoacoustics,22135979,Photoacoustics
Physics & Imaging in Radiation Oncology,24056316,Physics%20%26%20Imaging%20in%20Radiation%20Oncology
Physics in Medicine,23524510,Physics%20in%20Medicine
Physics Letters B,03702693,Physics%20Letters%20B
Physics Open,26660326,Physics%20Open
Poultry Science,00325791,Poultry%20Science
Practical Laboratory Medicine,23525517,Practical%20Laboratory%20Medicine
Preventive Medicine Reports,22113355,Preventive%20Medicine%20Reports
Procedia CIRP,22128271,Procedia%20CIRP
Progress in Disaster Science,25900617,Progress%20in%20Disaster%20Science
Progress in Natural Science: Materials International,10020071,Progress%20in%20Natural%20Science%3A%20Materials%20International
Prostate International,22878882,Prostate%20International
Public Health in Practice,26665352,Public%20Health%20in%20Practice
Pulmonology,25310437,Pulmonology
Quaternary Science Advances,26660334,Quaternary%20Science%20Advances
Radiology Case Reports,19300433,Radiology%20Case%20Reports
Radiology of Infectious Diseases,23526211,Radiology%20of%20Infectious%20Diseases
Redox Biology,22132317,Redox%20Biology
