Title,ISSN,BUS,HUM,LAW,MED,NSEG,SSDG
Applied Radiation and Isotopes,09698043,NA,NA,NA,NA,1,NA
Applied Soft Computing,15684946,NA,NA,NA,NA,1,NA
Applied Soil Ecology,09291393,NA,NA,NA,NA,1,NA
Applied Surface Science,01694332,NA,NA,NA,NA,1,NA
Applied Thermal Engineering,13594311,NA,NA,NA,NA,1,NA
Apunts. Medicina de l’Esport,18866581,NA,NA,NA,1,NA,NA
Aquacultural Engineering,01448609,NA,NA,NA,NA,1,NA
Aquaculture,00448486,NA,NA,NA,1,1,NA
Aquaculture and Fisheries,2468550X,NA,NA,NA,NA,1,NA
Aquaculture Reports,23525134,NA,NA,NA,NA,1,NA
Aquatic Botany,03043770,NA,NA,NA,NA,1,NA
Aquatic Toxicology,0166445X,NA,NA,NA,NA,1,NA
Arab Journal of Gastroenterology,16871979,NA,NA,NA,1,NA,NA
Arab Journal of Mathematical Sciences,13195166,NA,NA,NA,NA,1,NA
Arabian Journal of Chemistry,18785352,NA,NA,NA,NA,1,NA
Archaeological Research in Asia,23522267,NA,1,NA,NA,NA,1
Archives de Pédiatrie,0929693X,NA,NA,NA,1,NA,NA
Archives des Maladies du Cœur et des Vaisseaux - Pratique,1261694X,NA,NA,NA,1,NA,NA
Archives des Maladies Professionnelles et de l’Environnement,17758785,NA,NA,NA,1,1,NA
Archives of Biochemistry and Biophysics,00039861,NA,NA,NA,NA,1,NA
Archives of Cardiovascular Diseases,18752136,NA,NA,NA,1,NA,NA
Archives of Cardiovascular Diseases Supplements,18786480,NA,NA,NA,1,NA,NA
Archives of Civil and Mechanical Engineering,16449665,NA,NA,NA,NA,1,NA
Archives of Gerontology and Geriatrics,01674943,NA,NA,NA,1,1,NA
Archives of Medical Research,01884409,NA,NA,NA,1,NA,NA
Archives of Oral Biology,00039969,NA,NA,NA,1,NA,NA
Archives of Physical Medicine and Rehabilitation,00039993,NA,NA,NA,1,NA,NA
Archives of Psychiatric Nursing,08839417,NA,NA,NA,1,1,NA
Archives of Rehabilitation Research and Clinical Translation,25901095,NA,NA,NA,1,NA,NA
Archivos de Bronconeumología,03002896,NA,NA,NA,1,NA,NA
Archivos de Bronconeumología (English Edition),15792129,NA,NA,NA,1,NA,NA
Archivos de la Sociedad Española de Oftalmología,03656691,NA,NA,NA,1,NA,NA
Archivos de la Sociedad Española de Oftalmología (English Edition),21735794,NA,NA,NA,1,NA,NA
Arthroplasty Today,23523441,NA,NA,NA,1,NA,NA
Arthropod Structure & Development,14678039,NA,NA,NA,NA,1,NA
Arthroscopy Techniques,22126287,NA,NA,NA,1,NA,NA
Arthroscopy: the Journal of Arthroscopic & Related Surgery,07498063,NA,NA,NA,1,NA,NA
Artificial Intelligence,00043702,NA,NA,NA,NA,1,NA
Artificial Intelligence in Agriculture,25897217,NA,NA,NA,NA,1,NA
Artificial Intelligence in Medicine,09333657,NA,NA,NA,1,1,NA
Asia Pacific Management Review,10293132,1,NA,NA,NA,NA,NA
"Asia-Pacific Journal of Sports Medicine, Arthroscopy, Rehabilitation and Technology",22146873,NA,NA,NA,1,NA,NA
Asian Journal of Pharmaceutical Sciences,18180876,NA,NA,NA,1,NA,NA
Asian Journal of Psychiatry,18762018,NA,NA,NA,1,1,NA
Asian Journal of Surgery,10159584,NA,NA,NA,1,NA,NA
Asian Journal of Urology,22143882,NA,NA,NA,1,NA,NA
Asian Nursing Research,19761317,NA,NA,NA,1,NA,NA
Assessing Writing,10752935,NA,1,NA,NA,NA,1
Astronomy and Computing,22131337,NA,NA,NA,NA,1,NA
Astroparticle Physics,09276505,NA,NA,NA,NA,1,NA
Atención Primaria,02126567,NA,NA,NA,1,NA,NA
Atención Primaria Práctica,26050730,NA,NA,NA,1,NA,NA
Atherosclerosis,00219150,NA,NA,NA,1,NA,NA
Atherosclerosis Supplements,15675688,NA,NA,NA,1,NA,NA
Atherosclerosis: X,25901354,NA,NA,NA,1,NA,NA
Atlas of the Oral and Maxillofacial Surgery Clinics,10613315,NA,NA,NA,1,NA,NA
Atmospheric Environment,13522310,NA,NA,NA,NA,1,NA
Atmospheric Environment: X,25901621,NA,NA,NA,NA,1,NA
Atmospheric Pollution Research,13091042,NA,NA,NA,NA,1,NA
Atmospheric Research,01698095,NA,NA,NA,NA,1,NA
Atomic Data and Nuclear Data Tables,0092640X,NA,NA,NA,NA,1,NA
Auris Nasus Larynx,03858146,NA,NA,NA,1,NA,NA
Australasian Emergency Care,2588994X,NA,NA,NA,1,NA,NA
Australasian Marketing Journal (AMJ),14413582,1,NA,NA,NA,NA,NA
Australian Critical Care,10367314,NA,NA,NA,1,NA,NA
Autoimmunity Reviews,15689972,NA,NA,NA,1,NA,NA
Automatica,00051098,NA,NA,NA,NA,1,NA
Automation in Construction,09265805,NA,NA,NA,NA,1,NA
Autonomic Neuroscience,15660702,NA,NA,NA,1,1,NA
Basic and Applied Ecology,14391791,NA,NA,NA,NA,1,NA
Behavior Therapy,00057894,NA,NA,NA,1,1,NA
Behaviour Research and Therapy,00057967,NA,NA,NA,1,1,NA
Behavioural Brain Research,01664328,NA,NA,NA,NA,1,NA
Behavioural Processes,03766357,NA,NA,NA,1,1,NA
Best Practice & Research Clinical Anaesthesiology,15216896,NA,NA,NA,1,NA,NA
Best Practice & Research Clinical Endocrinology & Metabolism,1521690X,NA,NA,NA,1,1,NA
Best Practice & Research Clinical Gastroenterology,15216918,NA,NA,NA,1,NA,NA
Best Practice & Research Clinical Haematology,15216926,NA,NA,NA,1,1,NA
Best Practice & Research Clinical Obstetrics & Gynaecology,15216934,NA,NA,NA,1,NA,NA
Best Practice & Research Clinical Rheumatology,15216942,NA,NA,NA,1,NA,NA
Big Data Research,22145796,NA,NA,NA,NA,1,NA
Bioactive Carbohydrates and Dietary Fibre,22126198,NA,NA,NA,1,1,NA
Bioactive Materials,2452199X,NA,NA,NA,NA,1,NA
Biocatalysis and Agricultural Biotechnology,18788181,NA,NA,NA,NA,1,NA
Biochemical and Biophysical Research Communications,0006291X,NA,NA,NA,NA,1,NA
Biochemical Engineering Journal,1369703X,NA,NA,NA,NA,1,NA
Biochemical Pharmacology,00062952,NA,NA,NA,1,NA,NA
Biochemical Systematics and Ecology,03051978,NA,NA,NA,NA,1,NA
Biochemistry and Biophysics Reports,24055808,NA,NA,NA,NA,1,NA
Biochimica et Biophysica Acta (BBA) - Bioenergetics,00052728,NA,NA,NA,NA,1,NA
Biochimica et Biophysica Acta (BBA) - Biomembranes,00052736,NA,NA,NA,NA,1,NA
Biochimica et Biophysica Acta (BBA) - Gene Regulatory Mechanisms,18749399,NA,NA,NA,NA,1,NA
Biochimica et Biophysica Acta (BBA) - General Subjects,03044165,NA,NA,NA,NA,1,NA
Biochimica et Biophysica Acta (BBA) - Molecular and Cell Biology of Lipids,13881981,NA,NA,NA,NA,1,NA
Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease,09254439,NA,NA,NA,1,1,NA
Biochimica et Biophysica Acta (BBA) - Molecular Cell Research,01674889,NA,NA,NA,1,1,NA
Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics,15709639,NA,NA,NA,NA,1,NA
Biochimica et Biophysica Acta (BBA) - Reviews on Cancer,0304419X,NA,NA,NA,1,1,NA
Biochimie,03009084,NA,NA,NA,NA,1,NA
Biochimie Open,22140085,NA,NA,NA,NA,1,NA
Biocybernetics and Biomedical Engineering,02085216,NA,NA,NA,NA,1,NA
Bioelectrochemistry,15675394,NA,NA,NA,NA,1,NA
Bioethics Update,2395938X,NA,NA,NA,1,NA,1
Biological Conservation,00063207,NA,NA,NA,NA,1,NA
Biological Control,10499644,NA,NA,NA,NA,1,NA
Biological Psychiatry,00063223,NA,NA,NA,1,NA,NA
Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,24519022,NA,NA,NA,1,NA,NA
Biological Psychology,03010511,NA,NA,NA,NA,1,NA
Biologicals,10451056,NA,NA,NA,1,1,NA
Biology of Blood and Marrow Transplantation,10838791,NA,NA,NA,1,1,NA
Biomass and Bioenergy,09619534,NA,NA,NA,NA,1,NA
Biomaterials,01429612,NA,NA,NA,NA,1,NA
Biomedical and Environmental Sciences,08953988,NA,NA,NA,1,NA,NA
Biomedical Journal,23194170,NA,NA,NA,1,1,NA
Biomedical Signal Processing and Control,17468094,NA,NA,NA,NA,1,NA
Biomedicine & Pharmacotherapy,07533322,NA,NA,NA,1,NA,NA
Biometric Technology Today,09694765,NA,NA,NA,NA,1,NA
Biomolecular Detection and Quantification,22147535,NA,NA,NA,1,1,NA
Bioorganic & Medicinal Chemistry,09680896,NA,NA,NA,1,1,NA
Bioorganic & Medicinal Chemistry Letters,0960894X,NA,NA,NA,1,1,NA
Bioorganic Chemistry,00452068,NA,NA,NA,1,1,NA
Biophysical Chemistry,03014622,NA,NA,NA,NA,1,NA
Biophysical Journal,00063495,NA,NA,NA,NA,1,NA
Bioprinting,24058866,NA,NA,NA,1,1,NA
Bioresource Technology,09608524,NA,NA,NA,NA,1,NA
Bioresource Technology Reports,2589014X,NA,NA,NA,NA,1,NA
Biosafety and Health,25900536,NA,NA,NA,1,NA,NA
Biosensors and Bioelectronics,09565663,NA,NA,NA,NA,1,NA
Biosensors and Bioelectronics: X,25901370,NA,NA,NA,NA,1,NA
Biosystems,03032647,NA,NA,NA,1,1,NA
Biosystems Engineering,15375110,NA,NA,NA,NA,1,NA
Biotechnology Advances,07349750,NA,NA,NA,NA,1,NA
Biotechnology Reports,2215017X,NA,NA,NA,NA,1,NA
Biotechnology Research and Innovation,24520721,NA,NA,NA,NA,1,NA
Biotribology,23525738,NA,NA,NA,1,1,NA
BJA Education,20585349,NA,NA,NA,1,NA,NA
"Blood Cells, Molecules, and Diseases",10799796,NA,NA,NA,1,1,NA
Blood Reviews,0268960X,NA,NA,NA,1,1,NA
Body Image,17401445,NA,NA,NA,1,1,NA
Boletín de la Sociedad Española de Cerámica y Vidrio,03663175,NA,NA,NA,NA,1,NA
Bone,87563282,NA,NA,NA,1,1,NA
Bone Reports,23521872,NA,NA,NA,1,1,NA
Borsa Istanbul Review,22148450,1,NA,NA,NA,NA,1
Brachytherapy,15384721,NA,NA,NA,1,NA,NA
Brain and Cognition,02782626,NA,NA,NA,NA,1,NA
Brain and Development,03877604,NA,NA,NA,1,NA,NA
Brain and Language,0093934X,NA,NA,NA,1,1,1
Brain Research,00068993,NA,NA,NA,1,NA,NA
Brain Research Bulletin,03619230,NA,NA,NA,1,1,NA
Brain Stimulation,1935861X,NA,NA,NA,1,NA,NA
"Brain, Behavior, and Immunity",08891591,NA,NA,NA,1,1,NA
Brazilian Journal of Anesthesiology,00347094,NA,NA,NA,1,NA,NA
Brazilian Journal of Anesthesiology (English Edition),01040014,NA,NA,NA,1,NA,NA
Brazilian Journal of Otorhinolaryngology,18088694,NA,NA,NA,1,NA,NA
Brazilian Journal of Physical Therapy,14133555,NA,NA,NA,1,NA,NA
British Journal of Anaesthesia,00070912,NA,NA,NA,1,NA,NA
British Journal of Oral and Maxillofacial Surgery,02664356,NA,NA,NA,1,NA,NA
BRQ Business Research Quarterly,23409436,1,NA,NA,NA,NA,NA
Building and Environment,03601323,NA,NA,NA,NA,1,NA
Bulletin de l'Académie Nationale de Médecine,00014079,NA,NA,NA,1,NA,NA
Bulletin des Sciences Mathématiques,00074497,NA,NA,NA,NA,1,NA
Bulletin du Cancer,00074551,NA,NA,NA,1,NA,NA
Burns,03054179,NA,NA,NA,1,NA,NA
Burns Open,24689122,NA,NA,NA,1,NA,NA
Business Horizons,00076813,1,NA,NA,NA,NA,NA
Cahiers de Nutrition et de Diététique,00079960,NA,NA,NA,1,NA,NA
Calphad,03645916,NA,NA,NA,NA,1,NA
Canadian Association of Radiologists Journal,08465371,NA,NA,NA,1,NA,NA
Canadian Journal of Cardiology,0828282X,NA,NA,NA,1,NA,NA
Canadian Journal of Diabetes,14992671,NA,NA,NA,1,NA,NA
Canadian Journal of Ophthalmology,00084182,NA,NA,NA,1,NA,NA
Cancer Cell,15356108,NA,NA,NA,1,1,NA
Cancer Epidemiology,18777821,NA,NA,NA,1,1,NA
Cancer Genetics,22107762,NA,NA,NA,1,1,NA
Cancer Letters,03043835,NA,NA,NA,1,1,NA
Cancer Treatment and Research Communications,24682942,NA,NA,NA,1,NA,NA
Cancer Treatment Reviews,03057372,NA,NA,NA,1,NA,NA
Cancer/Radiothérapie,12783218,NA,NA,NA,1,1,NA
Carbohydrate Polymers,01448617,NA,NA,NA,NA,1,NA
Carbohydrate Research,00086215,NA,NA,NA,NA,1,NA
Carbon,00086223,NA,NA,NA,NA,1,NA
Carbon Resources Conversion,25889133,NA,NA,NA,NA,1,NA
Cardiac Electrophysiology Clinics,18779182,NA,NA,NA,1,NA,NA
Cardiology Clinics,07338651,NA,NA,NA,1,NA,NA
Cardiovascular Pathology,10548807,NA,NA,NA,1,NA,NA
Cardiovascular Revascularization Medicine,15538389,NA,NA,NA,1,NA,NA
CASE,24686441,NA,NA,NA,1,NA,NA
Case Reports in Women's Health,22149112,NA,NA,NA,1,NA,NA
Case Studies in Construction Materials,22145095,NA,NA,NA,NA,1,NA
Case Studies in Thermal Engineering,2214157X,NA,NA,NA,NA,1,NA
Case Studies on Transport Policy,2213624X,1,NA,NA,NA,1,NA
Catalysis Communications,15667367,NA,NA,NA,NA,1,NA
Catalysis Today,09205861,NA,NA,NA,NA,1,NA
CATENA,03418162,NA,NA,NA,NA,1,NA
Cell,00928674,NA,NA,NA,1,1,NA
Cell Calcium,01434160,NA,NA,NA,NA,1,NA
Cell Chemical Biology,24519456,NA,NA,NA,NA,1,NA
Cell Host & Microbe,19313128,NA,NA,NA,1,1,NA
Cell Metabolism,15504131,NA,NA,NA,1,1,NA
Cell Regeneration,20459769,NA,NA,NA,NA,1,NA
Cell Reports,22111247,NA,NA,NA,1,1,NA
Cell Stem Cell,19345909,NA,NA,NA,1,1,NA
Cell Systems,24054712,NA,NA,NA,NA,1,NA
Cellular and Molecular Gastroenterology and Hepatology,2352345X,NA,NA,NA,1,1,NA
Cellular Immunology,00088749,NA,NA,NA,1,1,NA
Cellular Signalling,08986568,NA,NA,NA,NA,1,NA
Cement and Concrete Composites,09589465,NA,NA,NA,NA,1,NA
Cement and Concrete Research,00088846,NA,NA,NA,NA,1,NA
Central Bank Review,13030701,1,NA,NA,NA,NA,NA
Ceramics International,02728842,NA,NA,NA,NA,1,NA
"Chaos, Solitons & Fractals",09600779,NA,NA,NA,NA,1,NA
"Chaos, Solitons & Fractals: X",25900544,NA,NA,NA,NA,1,NA
Chem,24519294,NA,NA,NA,NA,1,NA
Chemical Data Collections,24058300,NA,NA,NA,NA,1,NA
Chemical Engineering and Processing - Process Intensification,02552701,NA,NA,NA,NA,1,NA
Chemical Engineering Journal,13858947,NA,NA,NA,NA,1,NA
Chemical Engineering Research and Design,02638762,NA,NA,NA,NA,1,NA
Chemical Engineering Science,00092509,NA,NA,NA,NA,1,NA
Chemical Engineering Science: X,25901400,NA,NA,NA,NA,1,NA
Chemical Geology,00092541,NA,NA,NA,NA,1,NA
Chemical Physics,03010104,NA,NA,NA,NA,1,NA
Chemical Physics Letters,00092614,NA,NA,NA,NA,1,NA
Chemical Physics Letters: X,25901419,NA,NA,NA,NA,1,NA
Chemico-Biological Interactions,00092797,NA,NA,NA,1,1,NA
Chemie der Erde,00092819,NA,NA,NA,NA,1,NA
Chemistry and Physics of Lipids,00093084,NA,NA,NA,NA,1,NA
Chemometrics and Intelligent Laboratory Systems,01697439,NA,NA,NA,NA,1,NA
Chemosphere,00456535,NA,NA,NA,NA,1,NA
Chest,00123692,NA,NA,NA,1,NA,NA
Child Abuse & Neglect,01452134,NA,NA,1,1,1,1
Child and Adolescent Psychiatric Clinics of North America,10564993,NA,NA,NA,1,NA,NA
Children and Youth Services Review,01907409,NA,NA,1,1,1,1
China Economic Review,1043951X,1,NA,NA,NA,NA,1
China Geology,20965192,NA,NA,NA,NA,1,NA
China Journal of Accounting Research,17553091,1,NA,NA,NA,NA,NA
Chinese Astronomy and Astrophysics,02751062,NA,NA,NA,NA,1,NA
Chinese Chemical Letters,10018417,NA,NA,NA,NA,1,NA
Chinese Herbal Medicines,16746384,NA,NA,NA,1,NA,NA
Chinese Journal of Aeronautics,10009361,NA,NA,NA,NA,1,NA
Chinese Journal of Analytical Chemistry,18722040,NA,NA,NA,NA,1,NA
Chinese Journal of Catalysis,18722067,NA,NA,NA,NA,1,NA
Chinese Journal of Chemical Engineering,10049541,NA,NA,NA,NA,1,NA
Chinese Journal of Natural Medicines,18755364,NA,NA,NA,1,NA,NA
Chinese Journal of Physics,05779073,NA,NA,NA,NA,1,NA
Chinese Journal of Traumatology,10081275,NA,NA,NA,1,NA,NA
Chinese Medical Sciences Journal,10019294,NA,NA,NA,1,NA,NA
Chronic Diseases and Translational Medicine,2095882X,NA,NA,NA,1,NA,NA
CIRP Annals,00078506,NA,NA,NA,NA,1,NA
CIRP Journal of Manufacturing Science and Technology,17555817,NA,NA,NA,NA,1,NA
Cirugía Cardiovascular,11340096,NA,NA,NA,1,NA,NA
Cirugía Española,0009739X,NA,NA,NA,1,NA,NA
Cirugía Española (English Edition),21735077,NA,NA,NA,1,NA,NA
Cities,02642751,1,NA,NA,NA,NA,1
"City, Culture and Society",18779166,NA,NA,NA,NA,NA,1
CJC Open,2589790X,NA,NA,NA,1,NA,NA
