year,P.ISSN,E.ISSN,journal_name,open_access
2012,15485323,NULL,Oncology Report,0
2012,14702045,14745488,The Lancet Oncology,0
2012,10966218,15577740,Journal of Palliative Medicine,0
2012,10582746,15326500,Journal of Shoulder and Elbow Surgery,0
2012,NULL,NULL,Sexually Transmitted Diseases,0
2012,01945998,10976817,Otolaryngology - Head and Neck Surgery (United States),0
2012,01656147,18733735,Trends in Pharmacological Sciences,0
2012,10899472,NULL,Journal of Perianesthesia Nursing,0
2012,10573631,NULL,Journal of Nursing Care Quality,0
2012,0899823X,NULL,Infection Control and Hospital Epidemiology,0
2012,10559965,NULL,Cancer Epidemiology Biomarkers and Prevention,1
2012,01452126,18735835,Leukemia Research,0
2012,03603016,1879355X,International Journal of Radiation Oncology Biology Physics,0
2012,NULL,19326203,PLoS ONE,1
2012,07487711,19381352,Journal of Rehabilitation Research and Development,1
2012,10600280,NULL,Annals of Pharmacotherapy,0
2012,00012092,NULL,AORN Journal,0
2012,10781439,18732496,Urologic Oncology: Seminars and Original Investigations,0
2012,15276546,15475069,Journal of Nursing Scholarship,0
2012,00207489,NULL,International Journal of Nursing Studies,0
2012,00904295,15279995,Urology,0
2012,13592998,14682052,Archives of Disease in Childhood: Fetal and Neonatal Edition,0
2012,13592998,14682052,Archives of Disease in Childhood: Fetal and Neonatal Edition,0
2012,03022838,18737560,European Urology,0
2012,00284793,15334406,New England Journal of Medicine,0
2012,NULL,NULL,Feigenbaum's Echocardiography: Seventh Edition,0
2012,10597700,15733599,Journal of Genetic Counseling,0
2012,15360903,NULL,Advances in Neonatal Care,0
2012,00032999,NULL,Anesthesia and Analgesia,0
2012,02704137,10970045,Prostate,0
2012,15382931,NULL,CIN - Computers Informatics Nursing,0
2012,10499091,NULL,American Journal of Hospice and Palliative Medicine,0
2012,03022838,18737560,European Urology,0
2012,03022838,18737560,European Urology,0
2012,NULL,NULL,Psychiatry of Parkinson's Disease,0
2012,21548331,NULL,Hospital practice (1995),0
2012,NULL,11791586,Open Access Journal of Clinical Trials,1
2012,00029343,15557162,American Journal of Medicine,0
2012,15507289,18787533,Surgery for Obesity and Related Diseases,0
2012,00958301,NULL,Diabetes forecast,0
2012,14795248,NULL,Gastrointestinal Nursing,0
2012,08950172,15457222,Journal of Neuropsychiatry and Clinical Neurosciences,0
2012,00029343,15557162,American Journal of Medicine,0
2012,NULL,15597776,AACN advanced critical care,0
2012,0959289X,15323374,International Journal of Obstetric Anesthesia,0
2012,15331458,15390667,Journal of Infusion Nursing,0
2012,08909091,NULL,ONCOLOGY (United States),0
2012,17436095,17436109,Journal of Sexual Medicine,0
2012,00201324,19433654,Respiratory Care,1
2012,03603016,1879355X,International Journal of Radiation Oncology Biology Physics,0
2012,03603016,1879355X,International Journal of Radiation Oncology Biology Physics,0
2012,10492275,NULL,Journal of Craniofacial Surgery,0
2012,01457217,15546063,The Diabetes Educator,0
2012,10402446,NULL,Academic Medicine,0
2012,00225347,15273792,Journal of Urology,0
2012,02770008,NULL,Pharmacotherapy,0
2012,03022838,18737560,European Urology,0
2012,17436095,17436109,Journal of Sexual Medicine,0
2012,08876924,14765551,Leukemia,1
2012,0008543X,10970142,Cancer,1
2012,00225347,15273792,Journal of Urology,0
2012,00123692,19313543,Chest,0
2012,NULL,19326203,PLoS ONE,1
2012,NULL,14712474,BMC Musculoskeletal Disorders,1
2012,00278424,10916490,Proceedings of the National Academy of Sciences of the United States of America,1
2012,00034819,15393704,Annals of Internal Medicine,0
2012,19433921,1943393X,"Attention, Perception, and Psychophysics",1
2012,NULL,16641078,Frontiers in Psychology,1
2012,NULL,19326203,PLoS ONE,1
2012,1557170X,NULL,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",0
2012,1557170X,NULL,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",0
2012,1557170X,NULL,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",0
2012,00280836,14764687,Nature,0
2012,NULL,NULL,Clinical Immunology: Principles and Practice: Fourth Edition,0
2012,11099666,NULL,Hellenic Journal of Cardiology,0
2012,NULL,17558794,BMC Medical Genomics,1
2012,03787354,16622774,Advances in Biological Psychiatry,0
2012,NULL,NULL,Epidemiologic Field Methods in Psychiatry: The NIMH Epidemiologic Catchment Area Program,0
2012,NULL,NULL,Epidemiologic Field Methods in Psychiatry: The NIMH Epidemiologic Catchment Area Program,0
2012,NULL,NULL,Epidemiologic Field Methods in Psychiatry: The NIMH Epidemiologic Catchment Area Program,0
2012,NULL,NULL,Epidemiologic Field Methods in Psychiatry: The NIMH Epidemiologic Catchment Area Program,0
2012,NULL,NULL,Aminoff's Electrodiagnosis in Clinical Neurology,0
2012,NULL,NULL,Therapy in Sleep Medicine,0
2012,21615861,21615853,Topics in Antiviral Medicine,0
2012,17526752,NULL,PharmacoVigilance Review,0
2012,20721439,20776624,Journal of Thoracic Disease,0
2012,00114162,NULL,Cutis,0
2012,15417786,15573125,Molecular Cancer Research,1
2012,03036987,16000560,Journal of Cutaneous Pathology,0
2012,00221767,15506606,Journal of Immunology,1
2012,NULL,NULL,Evidence-Based Practice of Palliative Medicine,0
2012,NULL,NULL,Nephrology Secrets,0
2012,12302813,NULL,Postepy Psychiatrii i Neurologii,0
2012,20901321,2090133X,Depression Research and Treatment,1
2012,15471896,08937400,Journal of the American Academy of Physician Assistants,0
2012,15221946,1522726X,Catheterization and Cardiovascular Interventions,0
2012,1557170X,NULL,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,0
2012,15297322,15346315,Current Allergy and Asthma Reports,0
2012,00071161,14682079,British Journal of Ophthalmology,0
2012,NULL,NULL,Evidence-Based Practice of Palliative Medicine,0
2012,NULL,NULL,Evidence-Based Practice of Palliative Medicine,0
2012,15411559,NULL,Psychological Services,0
2012,00946354,NULL,AANA Journal,0
2012,17514258,17514266,Current Opinion in Supportive and Palliative Care,0
2012,10570829,1536481X,Journal of Glaucoma,0
2012,10918531,15283933,Journal of AAPOS,0
2012,1354750X,13665804,Biomarkers,0
2012,08905339,15312291,Journal of Orthopaedic Trauma,0
2012,13657852,14765608,Prostate Cancer and Prostatic Diseases,1
2012,0899823X,NULL,Infection Control and Hospital Epidemiology,0
2012,00063223,18732402,Biological Psychiatry,0
2012,01460005,1558075X,Seminars in Perinatology,0
2012,03069877,15322777,Medical Hypotheses,1
2012,15235998,1555211X,Primary Care Companion to the Journal of Clinical Psychiatry,0
2012,18788750,18788769,World Neurosurgery,0
2012,00028703,10976744,American Heart Journal,0
2012,22122672,NULL,Journal of the Academy of Nutrition and Dietetics,0
2012,10597794,10981004,Human Mutation,0
2012,1049510X,NULL,Ethnicity and Disease,0
2012,00039950,15383601,Archives of Ophthalmology,0
2012,02692163,1477030X,Palliative Medicine,0
2012,NULL,21556113,Journal of AIDS and Clinical Research,0
2012,02726386,15236838,American Journal of Kidney Diseases,0
2012,00034975,15526259,Annals of Thoracic Surgery,0
2012,08856230,10991166,International Journal of Geriatric Psychiatry,0
2012,00314005,10984275,Pediatrics,0
2012,19417640,19417632,Circulation: Cardiovascular Interventions,1
2012,03005771,14643685,International Journal of Epidemiology,1
2012,10614036,15461718,Nature Genetics,0
2012,10972765,10974164,Molecular Cell,1
2012,00064971,15280020,Blood,1
2012,00284793,15334406,New England Journal of Medicine,0
2012,00987484,15383598,JAMA - Journal of the American Medical Association,0
2012,00987484,15383598,JAMA - Journal of the American Medical Association,1
2012,15235998,1555211X,Primary Care Companion to the Journal of Clinical Psychiatry,0
2012,NULL,NULL,The Oxford Handbook of Psychoneuroimmunology,0
2012,15734005,18756441,Current Psychiatry Reviews,0
2012,10780432,15573265,Clinical Cancer Research,1
2012,09514198,10970231,Rapid Communications in Mass Spectrometry,0
2012,0008543X,10970142,Cancer,1
2012,00039926,15383679,Archives of Internal Medicine,1
2012,00219258,1083351X,Journal of Biological Chemistry,1
2012,07487711,19381352,Journal of Rehabilitation Research and Development,1
2012,15559041,1555905X,Clinical Journal of the American Society of Nephrology,1
2012,00278424,10916490,Proceedings of the National Academy of Sciences of the United States of America,1
2012,00097322,15244539,Circulation,1
2012,07351097,15583597,Journal of the American College of Cardiology,1
2012,00070920,15321827,British Journal of Cancer,1
2012,10796533,NULL,Journal of Clinical Outcomes Management,0
2012,0148396X,NULL,Neurosurgery,0
2012,00219525,15408140,Journal of Cell Biology,1
2012,01930826,15403564,Journal of Library Administration,0
2012,02709295,15584488,Seminars in Nephrology,0
2012,14796708,17486971,Future Neurology,0
2012,10907165,NULL,AIDS and Behavior,0
2012,0002953X,15357228,American Journal of Psychiatry,0
2012,0889857X,15583163,Rheumatic Disease Clinics of North America,0
2012,03051048,13624962,Nucleic Acids Research,1
2012,03625664,1537162X,Clinical Neuropharmacology,0
2012,0894587X,15733289,Administration and Policy in Mental Health and Mental Health Services Research,0
2012,10889051,15495469,Genome Research,1
2012,15221946,1522726X,Catheterization and Cardiovascular Interventions,0
2012,01609289,19328737,Clinical Cardiology,1
2012,10872914,15577449,AIDS Patient Care and STDs,0
2012,00220736,15328430,Journal of Electrocardiology,0
2012,07357907,15324192,Cancer Investigation,0
2012,03043959,18726623,Pain,0
2012,03603016,1879355X,International Journal of Radiation Oncology Biology Physics,0
2012,01455613,NULL,"Ear, Nose and Throat Journal",0
2012,00028614,15325415,Journal of the American Geriatrics Society,0
2012,0003990X,15383636,Archives of General Psychiatry,1
2012,00223565,15210103,Journal of Pharmacology and Experimental Therapeutics,0
2012,13865056,18728243,International Journal of Medical Informatics,0
2012,19413289,19413297,Circulation: Heart Failure,0
2012,19352727,19352735,PLoS Neglected Tropical Diseases,1
2012,2151464X,21514658,Arthritis Care and Research,1
2012,03022838,18737560,European Urology,0
2012,15455009,15455017,Pediatric Blood and Cancer,0
2012,00121622,14698749,Developmental Medicine and Child Neurology,0
2012,19413289,19413297,Circulation: Heart Failure,1
2012,00225223,1097685X,Journal of Thoracic and Cardiovascular Surgery,1
2012,03022838,18737560,European Urology,0
2012,10107940,1873734X,European Journal of Cardio-thoracic Surgery,1
2012,00283878,1526632X,Neurology,0
2012,00097322,15244539,Circulation,0
2012,20902204,20902212,Journal of Aging Research,1
2012,00219258,1083351X,Journal of Biological Chemistry,0
2012,01464760,19452403,Journal of Analytical Toxicology,1
2012,00278424,10916490,Proceedings of the National Academy of Sciences of the United States of America,1
2012,NULL,NULL,"Niedermeyer's Electroencephalography: Basic Principles, Clinical Applications, and Related Fields: Sixth Edition",0
2012,NULL,19326203,PLoS ONE,1
2012,1073449X,15354970,American Journal of Respiratory and Critical Care Medicine,0
2012,00029149,18791913,American Journal of Cardiology,0
2012,0008543X,10970142,Cancer,1
2012,10584838,15376591,Clinical Infectious Diseases,1
2012,14779226,14779234,Dalton Transactions,0
2012,01712004,18650325,Handbook of Experimental Pharmacology,0
2012,NULL,20452322,Scientific Reports,1
2012,09599428,13645501,Journal of Materials Chemistry,0
2012,00219258,1083351X,Journal of Biological Chemistry,1
2012,NULL,17456215,Trials,1
2012,15504131,19327420,Cell Metabolism,1
2012,10570829,1536481X,Journal of Glaucoma,0
2012,13892010,18734316,Current Pharmaceutical Biotechnology,0
2012,10838791,15236536,Biology of Blood and Marrow Transplantation,1
2012,0886571X,15410358,Residential Treatment for Children and Youth,0
2012,10010602,17487838,Cell Research,1
2012,15365050,15589439,Journal of the Medical Library Association,1
2012,10579230,10991050,Health Economics (United Kingdom),0
2012,19351232,NULL,Clinical Schizophrenia and Related Psychoses,0
2012,15254135,10779450,Journal of Acquired Immune Deficiency Syndromes,0
2012,21593337,NULL,Nucleic Acid Therapeutics,0
2012,22113649,NULL,Journal of Obsessive-Compulsive and Related Disorders,0
2012,10719164,15328414,Journal of Cardiac Failure,0
2012,00099163,13990004,Clinical Genetics,0
2012,01606379,NULL,Family and Community Health,0
2012,00257931,14230356,Respiration,1
2012,1936878X,18767591,JACC: Cardiovascular Imaging,1
2012,10416102,1741203X,International Psychogeriatrics,0
2012,09546111,15323064,Respiratory Medicine,1
2012,21630755,21630763,Journal of Trauma and Acute Care Surgery,0
2012,00916765,15529924,Environmental Health Perspectives,0
2012,01616420,15494713,Ophthalmology,0
2012,00029629,15382990,American Journal of the Medical Sciences,0
2012,01460404,15525783,Investigative Ophthalmology and Visual Science,1
2012,02709139,15273350,Hepatology,0
2012,10914269,15206394,Depression and Anxiety,0
2012,01609289,19328737,Clinical Cardiology,0
2012,0003990X,15383636,Archives of General Psychiatry,0
2012,03022838,18737560,European Urology,0
2012,10440305,18791123,Journal of the American Society for Mass Spectrometry,1
2012,08840431,15234681,Journal of Bone and Mineral Research,0
2012,09646906,14602083,Human Molecular Genetics,1
2012,00221899,NULL,Journal of Infectious Diseases,1
2012,18324274,NULL,Twin Research and Human Genetics,0
2012,16006135,16006143,American Journal of Transplantation,1
2012,NULL,22111247,Cell Reports,1
2012,NULL,17561833,BMJ (Online),0
2012,16878450,16878469,Journal of Oncology,1
2012,16878450,16878469,Journal of Oncology,1
2012,16878558,16878566,Journal of Cancer Epidemiology,1
2012,NULL,NULL,The Oxford Handbook of Sleep and Sleep Disorders,0
2012,0008543X,10970142,Cancer,0
2012,NULL,14712105,BMC Bioinformatics,1
2012,00283878,1526632X,Neurology,0
2012,NULL,14712474,BMC Musculoskeletal Disorders,1
2012,00280836,14764687,Nature,1
2012,NULL,14712407,BMC Cancer,1
2012,NULL,19326203,PLoS ONE,1
2012,00219738,15588238,Journal of Clinical Investigation,1
2012,10413766,NULL,Cosmetic Dermatology,0
2012,01674889,18792596,Biochimica et Biophysica Acta - Molecular Cell Research,1
2012,10752730,15579700,Psychiatric Services,0
2012,13685031,17421241,International Journal of Clinical Practice,0
2012,13674803,14602059,Bioinformatics,0
2012,01468693,1465735X,Journal of Pediatric Psychology,1
2012,10543406,15205711,Journal of Biopharmaceutical Statistics,0
2012,03787346,1423002X,Gynecologic and Obstetric Investigation,0
2012,00028614,15325415,Journal of the American Geriatrics Society,0
2012,10950680,15334112,Journal of ECT,0
2012,15475271,15563871,Heart Rhythm,0
2012,15566811,1556679X,Clinical and Vaccine Immunology,1
2012,00028703,10976744,American Heart Journal,0
2012,15671356,15671364,FEMS Yeast Research,0
2012,09652140,13600443,Addiction,1
2012,10983015,15244733,Value in Health,1
2012,10614036,15461718,Nature Genetics,0
2012,00368075,10959203,Science,0
2012,NULL,NULL,Principles and Practice of Pediatric Infectious Diseases: Fourth Edition,0
2012,NULL,NULL,Principles and Practice of Pediatric Infectious Diseases: Fourth Edition,0
2012,NULL,NULL,Principles and Practice of Pediatric Infectious Diseases: Fourth Edition,0
2012,NULL,NULL,Principles and Practice of Pediatric Infectious Diseases: Fourth Edition,0
2012,NULL,NULL,Principles and Practice of Pediatric Infectious Diseases: Fourth Edition,0
2012,00064971,15280020,Blood,1
2012,18651372,18651380,International Journal of Emergency Medicine,1
2012,NULL,14712474,BMC Musculoskeletal Disorders,1
2012,00284793,15334406,New England Journal of Medicine,0
2012,00280836,14764687,Nature,0
2012,00987484,15383598,JAMA - Journal of the American Medical Association,0
2012,NULL,14712164,BMC Genomics,1
2012,NULL,19326203,PLoS ONE,1
2012,NULL,19326203,PLoS ONE,1
2012,01145916,11791942,Drug Safety,0
2012,16876962,16876970,Anesthesiology Research and Practice,1
2012,15455963,NULL,IEEE/ACM Transactions on Computational Biology and Bioinformatics,0
2012,19313128,19346069,Cell Host and Microbe,1
2012,03029743,16113349,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),0
2012,10693424,10989048,Seminars in Respiratory and Critical Care Medicine,0
2012,00219258,1083351X,Journal of Biological Chemistry,1
2012,00029297,15376605,American Journal of Human Genetics,1
2012,00029297,15376605,American Journal of Human Genetics,1
2012,00284793,15334406,New England Journal of Medicine,0
2012,NULL,14752875,Malaria Journal,1
2012,03337308,NULL,Israel Journal of Psychiatry and Related Sciences,0
2012,00284793,15334406,New England Journal of Medicine,0
2012,0022538X,10985514,Journal of Virology,1
2012,13620347,NULL,Evidence-Based Mental Health,0
2012,00219738,15588238,Journal of Clinical Investigation,1
2012,00219738,15588238,Journal of Clinical Investigation,1
2012,00048674,14401614,Australian and New Zealand Journal of Psychiatry,0
2012,02707306,10985549,Molecular and Cellular Biology,1
2012,13985647,13995618,Bipolar Disorders,0
2012,13854046,17444144,Clinical Neuropsychologist,0
2012,07418329,18736823,Alcohol,0
2012,15537366,15537374,PLoS Pathogens,1
2012,10416102,1741203X,International Psychogeriatrics,0
2012,03022838,18737560,European Urology,0
2012,1699048X,16993055,Clinical and Translational Oncology,0
2012,14644096,1464410X,BJU International,1
2012,0732183X,15277755,Journal of Clinical Oncology,0
2012,09366555,14332981,Clinical Oncology,0
2012,14644096,1464410X,BJU International,1
2012,NULL,19326203,PLoS ONE,1
2012,NULL,19326203,PLoS ONE,1
2012,02698803,NULL,Journal of Psychophysiology,0
2012,00064971,15280020,Blood,1
2012,NULL,19326203,PLoS ONE,1
2012,07302347,15266702,Texas Heart Institute Journal,0
2012,19450877,19379145,Science Signaling,0
2012,11240490,NULL,Sarcoidosis Vasculitis and Diffuse Lung Diseases,0
2012,NULL,14726947,BMC Medical Informatics and Decision Making,1
2012,00063223,18732402,Biological Psychiatry,0
2012,10584838,15376591,Clinical Infectious Diseases,1
2012,11732563,11791918,Clinical Drug Investigation,0
2012,10543406,15205711,Journal of Biopharmaceutical Statistics,0
2012,10543406,15205711,Journal of Biopharmaceutical Statistics,0
2012,10413766,NULL,Cosmetic Dermatology,0
2012,01460404,15525783,Investigative Ophthalmology and Visual Science,1
2012,19412789,NULL,Journal of Clinical and Aesthetic Dermatology,0
2012,14737140,17448328,Expert Review of Anticancer Therapy,0
2012,08938512,10986618,Clinical Microbiology Reviews,1
2012,08888809,NULL,Molecular Endocrinology,1
2012,14767058,14764954,Journal of Maternal-Fetal and Neonatal Medicine,0
2012,17410541,1744828X,Personalized Medicine,1
2012,02709139,15273350,Hepatology,1
2012,00951137,1098660X,Journal of Clinical Microbiology,1
2012,13543784,17447658,Expert Opinion on Investigational Drugs,0
2012,00468177,15328392,Human Pathology,0
2012,00333182,15457206,Psychosomatics,0
2012,10983015,15244733,Value in Health,1
2012,00906964,15739686,Annals of Biomedical Engineering,0
2012,00333158,14322072,Psychopharmacology,0
2012,15333159,NULL,Pain Physician,0
2012,15357163,15388514,Molecular Cancer Therapeutics,1
2012,0315162X,14992752,Journal of Rheumatology,0
2012,00029637,NULL,American Journal of Tropical Medicine and Hygiene,1
2012,15391604,15391612,Pharmaceutical Statistics,0
2012,07438346,14765543,Journal of Perinatology,1
2012,15517144,15592030,Contemporary Clinical Trials,0
2012,00028703,10976744,American Heart Journal,0
2012,01638343,18737714,General Hospital Psychiatry,0
2012,13538020,18735126,Parkinsonism and Related Disorders,0
2012,00040010,15383644,Archives of Surgery,1
2012,09546820,13652796,Journal of Internal Medicine,0
2012,15297535,19473893,Pediatric Critical Care Medicine,0
2012,18798500,NULL,Practical Radiation Oncology,1
2012,10838791,15236536,Biology of Blood and Marrow Transplantation,1
2012,01460404,15525783,Investigative Ophthalmology and Visual Science,1
2012,NULL,14712458,BMC Public Health,1
2012,01145916,11791942,Drug Safety,0
2012,NULL,19326203,PLoS ONE,1
2012,00063495,15420086,Biophysical Journal,1
2012,00278424,10916490,Proceedings of the National Academy of Sciences of the United States of America,1
2012,NULL,19326203,PLoS ONE,1
2012,00221767,15506606,Journal of Immunology,1
2012,00189200,NULL,IEEE Journal of Solid-State Circuits,0
2012,0264410X,18732518,Vaccine,0
2012,07351097,15583597,Journal of the American College of Cardiology,1
2012,15310035,15310027,Perspectives in Vascular Surgery and Endovascular Therapy,0
2012,NULL,21568650,Medical Science Educator,0
2012,17514258,17514266,Current Opinion in Supportive and Palliative Care,0
2012,15221946,1522726X,Catheterization and Cardiovascular Interventions,0
2012,13899457,18785506,Sleep Medicine,0
2012,00493848,18792472,Thrombosis Research,0
2012,00222593,14686244,Journal of Medical Genetics,1
2012,19412789,NULL,Journal of Clinical and Aesthetic Dermatology,0
2012,10675027,1527974X,Journal of the American Medical Informatics Association,1
2012,2151464X,21514658,Arthritis Care and Research,0
2012,08848734,15251497,Journal of General Internal Medicine,0
2012,15360636,15381935,Techniques in Knee Surgery,0
2012,10811206,15344436,"Annals of Allergy, Asthma and Immunology",0
2012,01475185,15320979,American Journal of Surgical Pathology,0
2012,10621024,NULL,Journal of Child and Family Studies,0
2012,09524746,13616498,Journal of Radiological Protection,0
2012,19368798,18767605,JACC: Cardiovascular Interventions,1
2012,10579249,10991611,Psycho-Oncology,0
2012,00223751,14697793,Journal of Physiology,0
2012,0193953X,15583147,Psychiatric Clinics of North America,0
2012,00223956,18791379,Journal of Psychiatric Research,0
2012,0899823X,NULL,Infection Control and Hospital Epidemiology,0
2012,00319406,18731465,Physiotherapy,0
2012,11218428,17246059,Journal of Nephrology,0
2012,02782715,15445208,Health Affairs,0
2012,10559965,NULL,Cancer Epidemiology Biomarkers and Prevention,1
2012,00468177,15328392,Human Pathology,0
2012,00028703,10976744,American Heart Journal,0
2012,01495992,19355548,Diabetes Care,1
2012,10498931,15570657,International Journal of Methods in Psychiatric Research,0
2012,09209964,15732509,Schizophrenia Research,0
2012,14644096,1464410X,BJU International,1
2012,15537390,15537404,PLoS Genetics,1
2012,13860291,18758622,Clinical Hemorheology and Microcirculation,0
2012,00987484,15383598,JAMA - Journal of the American Medical Association,0
2012,03043835,18727980,Cancer Letters,0
2012,00097330,15244571,Circulation Research,1
2012,NULL,20411480,Journal of Biomedical Semantics,1
2012,NULL,NULL,Schaechter's Mechanisms of Microbial Disease: Fifth Edition,0
2012,NULL,19326203,PLoS ONE,1
2012,16057422,NULL,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,0
2012,0732183X,15277755,Journal of Clinical Oncology,0
2012,00472891,15736601,Journal of Youth and Adolescence,0
2012,00219258,1083351X,Journal of Biological Chemistry,1
2012,NULL,14712105,BMC Bioinformatics,1
2012,00284793,15334406,New England Journal of Medicine,0
2012,10400605,15221504,American Journal of Physiology - Lung Cellular and Molecular Physiology,0
2012,14767058,14764954,Journal of Maternal-Fetal and Neonatal Medicine,0
2012,0738081X,18791131,Clinics in Dermatology,0
2012,13556037,1468201X,Heart,0
2012,10538569,10991557,Pharmacoepidemiology and Drug Safety,1
2012,10441549,NULL,American Journal of Respiratory Cell and Molecular Biology,0
2012,10893261,15578224,Clinics in Liver Disease,0
2012,00016349,16000412,Acta Obstetricia et Gynecologica Scandinavica,0
2012,10777229,1878187X,Cognitive and Behavioral Practice,0
2012,07338619,15579875,Neurologic Clinics,0
2012,15699293,15699285,Interactive Cardiovascular and Thoracic Surgery,1
2012,09593985,15325040,Physiotherapy Theory and Practice,0
2012,01676806,15737217,Breast Cancer Research and Treatment,0
2012,09621067,13652702,Journal of Clinical Nursing,0
2012,19352727,19352735,PLoS Neglected Tropical Diseases,1
2012,0012186X,14320428,Diabetologia,1
2012,0894587X,15733289,Administration and Policy in Mental Health and Mental Health Services Research,0
2012,00221198,15564029,Journal of Forensic Sciences,0
2012,10806040,10806059,Emerging Infectious Diseases,0
2012,10838791,15236536,Biology of Blood and Marrow Transplantation,1
2012,00952990,10979891,American Journal of Drug and Alcohol Abuse,0
2012,10777229,1878187X,Cognitive and Behavioral Practice,0
2012,10870156,15461696,Nature Biotechnology,0
2012,15525260,15525279,Alzheimer's and Dementia,0
2012,19337191,19337205,Reproductive Sciences,0
2012,14741776,14741784,Nature Reviews Drug Discovery,0
2012,15292908,15292916,Nature Immunology,0
2012,15537366,15537374,PLoS Pathogens,1
2012,03603016,1879355X,International Journal of Radiation Oncology Biology Physics,0
2012,15537366,15537374,PLoS Pathogens,1
2012,01615505,NULL,Journal of Nuclear Medicine,1
2012,00223069,15546578,Journal of Neuropathology and Experimental Neurology,1
