Title,ISSN,Type,EncodedTitle
Best Practice & Research Clinical Gastroenterology,15216918,Freedom,Best%20Practice%20%26%20Research%20Clinical%20Gastroenterology
Best Practice & Research Clinical Haematology,15216926,Freedom,Best%20Practice%20%26%20Research%20Clinical%20Haematology
Best Practice & Research Clinical Obstetrics & Gynaecology,15216934,Freedom,Best%20Practice%20%26%20Research%20Clinical%20Obstetrics%20%26%20Gynaecology
Best Practice & Research Clinical Rheumatology,15216942,Freedom,Best%20Practice%20%26%20Research%20Clinical%20Rheumatology
Big Data Research,22145796,Freedom,Big%20Data%20Research
Bioactive Carbohydrates and Dietary Fibre,22126198,Freedom,Bioactive%20Carbohydrates%20and%20Dietary%20Fibre
Biocatalysis and Agricultural Biotechnology,18788181,Freedom,Biocatalysis%20and%20Agricultural%20Biotechnology
Biochimica et Biophysica Acta (BBA) - Bioenergetics,00052728,Freedom,Biochimica%20et%20Biophysica%20Acta%20%28BBA%29%20-%20Bioenergetics
Biochimica et Biophysica Acta (BBA) - Biomembranes,00052736,Freedom,Biochimica%20et%20Biophysica%20Acta%20%28BBA%29%20-%20Biomembranes
Biochimica et Biophysica Acta (BBA) - Gene Regulatory Mechanisms,18749399,Freedom,Biochimica%20et%20Biophysica%20Acta%20%28BBA%29%20-%20Gene%20Regulatory%20Mechanisms
Biochimica et Biophysica Acta (BBA) - General Subjects,03044165,Freedom,Biochimica%20et%20Biophysica%20Acta%20%28BBA%29%20-%20General%20Subjects
Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease,09254439,Freedom,Biochimica%20et%20Biophysica%20Acta%20%28BBA%29%20-%20Molecular%20Basis%20of%20Disease
Biochimica et Biophysica Acta (BBA) - Molecular and Cell Biology of Lipids,13881981,Freedom,Biochimica%20et%20Biophysica%20Acta%20%28BBA%29%20-%20Molecular%20and%20Cell%20Biology%20of%20Lipids
Biochimica et Biophysica Acta (BBA) - Molecular Cell Research,01674889,Freedom,Biochimica%20et%20Biophysica%20Acta%20%28BBA%29%20-%20Molecular%20Cell%20Research
Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics,15709639,Freedom,Biochimica%20et%20Biophysica%20Acta%20%28BBA%29%20-%20Proteins%20and%20Proteomics
Biochimica et Biophysica Acta (BBA) - Reviews on Cancer,0304419X,Freedom,Biochimica%20et%20Biophysica%20Acta%20%28BBA%29%20-%20Reviews%20on%20Cancer
Biochimie,03009084,Freedom,Biochimie
Biocybernetics and Biomedical Engineering,02085216,Freedom,Biocybernetics%20and%20Biomedical%20Engineering
Biological Control,10499644,Freedom,Biological%20Control
Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,24519022,Freedom,Biological%20Psychiatry%3A%20Cognitive%20Neuroscience%20and%20Neuroimaging
Biologicals,10451056,Freedom,Biologicals
Biomass and Bioenergy,09619534,Freedom,Biomass%20and%20Bioenergy
Biomedical Signal Processing and Control,17468094,Freedom,Biomedical%20Signal%20Processing%20and%20Control
Biometric Technology Today,09694765,Freedom,Biometric%20Technology%20Today
Bioprinting,24058866,Freedom,Bioprinting
Bioresource Technology,09608524,Freedom,Bioresource%20Technology
Bioresource Technology Reports,2589014X,Freedom,Bioresource%20Technology%20Reports
Biosystems Engineering,15375110,Freedom,Biosystems%20Engineering
Biotechnology Advances,07349750,Freedom,Biotechnology%20Advances
Biotribology,23525738,Freedom,Biotribology
"Blood Cells, Molecules, and Diseases",10799796,Freedom,Blood%20Cells%2C%20Molecules%2C%20and%20Diseases
Body Image,17401445,Freedom,Body%20Image
"Brain, Behavior, and Immunity",08891591,Freedom,Brain%2C%20Behavior%2C%20and%20Immunity
Brain and Cognition,02782626,Freedom,Brain%20and%20Cognition
Brain and Development,03877604,Freedom,Brain%20and%20Development
Brain and Language,0093934X,Freedom,Brain%20and%20Language
Brain Research Bulletin,03619230,Freedom,Brain%20Research%20Bulletin
Brain Stimulation,1935861X,Freedom,Brain%20Stimulation
Brazilian Journal of Physical Therapy,14133555,Freedom,Brazilian%20Journal%20of%20Physical%20Therapy
The Breast,09609776,Freedom,The%20Breast
The British Accounting Review,08908389,Freedom,The%20British%20Accounting%20Review
British Journal of Oral and Maxillofacial Surgery,02664356,Freedom,British%20Journal%20of%20Oral%20and%20Maxillofacial%20Surgery
Building and Environment,03601323,Freedom,Building%20and%20Environment
Canadian Journal of Cardiology,0828282X,Freedom,Canadian%20Journal%20of%20Cardiology
Canadian Journal of Diabetes,14992671,Freedom,Canadian%20Journal%20of%20Diabetes
Canadian Journal of Ophthalmology,00084182,Freedom,Canadian%20Journal%20of%20Ophthalmology
Cancer Epidemiology,18777821,Freedom,Cancer%20Epidemiology
Cancer Genetics,22107762,Freedom,Cancer%20Genetics
Cancer Letters,03043835,Freedom,Cancer%20Letters
Cancer/Radiothérapie,12783218,Freedom,Cancer%2FRadioth%C3%A9rapie
Cancer Treatment and Research Communications,24682942,Freedom,Cancer%20Treatment%20and%20Research%20Communications
Carbohydrate Polymers,01448617,Freedom,Carbohydrate%20Polymers
Carbon,00086223,Freedom,Carbon
Cardiovascular Pathology,10548807,Freedom,Cardiovascular%20Pathology
Cardiovascular Revascularization Medicine,15538389,Freedom,Cardiovascular%20Revascularization%20Medicine
Case Studies on Transport Policy,2213624X,Freedom,Case%20Studies%20on%20Transport%20Policy
Catalysis Communications,15667367,Freedom,Catalysis%20Communications
Catalysis Today,09205861,Freedom,Catalysis%20Today
CATENA,03418162,Freedom,CATENA
Cell Calcium,01434160,Freedom,Cell%20Calcium
Cellular Immunology,00088749,Freedom,Cellular%20Immunology
Cellular Signalling,08986568,Freedom,Cellular%20Signalling
Ceramics International,02728842,Freedom,Ceramics%20International
Chemical Data Collections,24058300,Freedom,Chemical%20Data%20Collections
Chemical Engineering and Processing - Process Intensification,02552701,Freedom,Chemical%20Engineering%20and%20Processing%20-%20Process%20Intensification
Chemical Engineering Research and Design,02638762,Freedom,Chemical%20Engineering%20Research%20and%20Design
Chemico-Biological Interactions,00092797,Freedom,Chemico-Biological%20Interactions
Chemie der Erde,00092819,Freedom,Chemie%20der%20Erde
Chemometrics and Intelligent Laboratory Systems,01697439,Freedom,Chemometrics%20and%20Intelligent%20Laboratory%20Systems
Children and Youth Services Review,01907409,Freedom,Children%20and%20Youth%20Services%20Review
Chinese Astronomy and Astrophysics,02751062,Freedom,Chinese%20Astronomy%20and%20Astrophysics
Chinese Chemical Letters,10018417,Freedom,Chinese%20Chemical%20Letters
Chinese Herbal Medicines,16746384,Freedom,Chinese%20Herbal%20Medicines
Chinese Journal of Analytical Chemistry,18722040,Freedom,Chinese%20Journal%20of%20Analytical%20Chemistry
Chinese Journal of Catalysis,18722067,Freedom,Chinese%20Journal%20of%20Catalysis
Chinese Journal of Chemical Engineering,10049541,Freedom,Chinese%20Journal%20of%20Chemical%20Engineering
Chinese Journal of Natural Medicines,18755364,Freedom,Chinese%20Journal%20of%20Natural%20Medicines
Chinese Journal of Physics,05779073,Freedom,Chinese%20Journal%20of%20Physics
CIRP Annals,00078506,Freedom,CIRP%20Annals
CIRP Journal of Manufacturing Science and Technology,17555817,Freedom,CIRP%20Journal%20of%20Manufacturing%20Science%20and%20Technology
Cirugía Española (English Edition),21735077,Freedom,Cirug%C3%ADa%20Espa%C3%B1ola%20%28English%20Edition%29
Cities,02642751,Freedom,Cities
"City, Culture and Society",18779166,Freedom,City%2C%20Culture%20and%20Society
Clinica Chimica Acta,00098981,Freedom,Clinica%20Chimica%20Acta
Clínica e Investigación en arteriosclerosis (English edition),25299123,Freedom,Cl%C3%ADnica%20e%20Investigaci%C3%B3n%20en%20arteriosclerosis%20%28English%20edition%29
Clinical Biochemistry,00099120,Freedom,Clinical%20Biochemistry
Clinical Biomechanics,02680033,Freedom,Clinical%20Biomechanics
Clinical Breast Cancer,15268209,Freedom,Clinical%20Breast%20Cancer
Clinical Colorectal Cancer,15330028,Freedom,Clinical%20Colorectal%20Cancer
Clinical Epidemiology and Global Health,22133984,Freedom,Clinical%20Epidemiology%20and%20Global%20Health
Clinical Genitourinary Cancer,15587673,Freedom,Clinical%20Genitourinary%20Cancer
Clinical Imaging,08997071,Freedom,Clinical%20Imaging
Clinical Lung Cancer,15257304,Freedom,Clinical%20Lung%20Cancer
Clinical Lymphoma Myeloma and Leukemia,21522650,Freedom,Clinical%20Lymphoma%20Myeloma%20and%20Leukemia
Clinical Mass Spectrometry,23769998,Freedom,Clinical%20Mass%20Spectrometry
Clinical Microbiology Newsletter,01964399,Freedom,Clinical%20Microbiology%20Newsletter
Clinical Neurology and Neurosurgery,03038467,Freedom,Clinical%20Neurology%20and%20Neurosurgery
Clinical Neurophysiology,13882457,Freedom,Clinical%20Neurophysiology
Clinical Nutrition ESPEN,24054577,Freedom,Clinical%20Nutrition%20ESPEN
Clinical Pediatric Emergency Medicine,15228401,Freedom,Clinical%20Pediatric%20Emergency%20Medicine
Clinical Plasma Medicine,22128166,Freedom,Clinical%20Plasma%20Medicine
Clinical Simulation in Nursing,18761399,Freedom,Clinical%20Simulation%20in%20Nursing
Clinics and Research in Hepatology and Gastroenterology,22107401,Freedom,Clinics%20and%20Research%20in%20Hepatology%20and%20Gastroenterology
Cognitive and Behavioral Practice,10777229,Freedom,Cognitive%20and%20Behavioral%20Practice
Cognitive Systems Research,13890417,Freedom,Cognitive%20Systems%20Research
Cold Regions Science and Technology,0165232X,Freedom,Cold%20Regions%20Science%20and%20Technology
Collegian,13227696,Freedom,Collegian
Colloid and Interface Science Communications,22150382,Freedom,Colloid%20and%20Interface%20Science%20Communications
Combustion and Flame,00102180,Freedom,Combustion%20and%20Flame
Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology,10964959,Freedom,Comparative%20Biochemistry%20and%20Physiology%20Part%20B%3A%20Biochemistry%20and%20Molecular%20Biology
Comparative Biochemistry and Physiology Part C: Toxicology & Pharmacology,15320456,Freedom,Comparative%20Biochemistry%20and%20Physiology%20Part%20C%3A%20Toxicology%20%26%20Pharmacology
"Comparative Immunology, Microbiology and Infectious Diseases",01479571,Freedom,Comparative%20Immunology%2C%20Microbiology%20and%20Infectious%20Diseases
Complementary Therapies in Clinical Practice,17443881,Freedom,Complementary%20Therapies%20in%20Clinical%20Practice
Complementary Therapies in Medicine,09652299,Freedom,Complementary%20Therapies%20in%20Medicine
Composite Structures,02638223,Freedom,Composite%20Structures
Composites Communications,24522139,Freedom,Composites%20Communications
Composites Part A: Applied Science and Manufacturing,1359835X,Freedom,Composites%20Part%20A%3A%20Applied%20Science%20and%20Manufacturing
Composites Part B: Engineering,13598368,Freedom,Composites%20Part%20B%3A%20Engineering
Composites Science and Technology,02663538,Freedom,Composites%20Science%20and%20Technology
Comptes Rendus Chimie,16310748,Freedom,Comptes%20Rendus%20Chimie
Comptes Rendus Palevol,16310683,Freedom,Comptes%20Rendus%20Palevol
Comptes Rendus Physique,16310705,Freedom,Comptes%20Rendus%20Physique
Computational Biology and Chemistry,14769271,Freedom,Computational%20Biology%20and%20Chemistry
Computational Condensed Matter,23522143,Freedom,Computational%20Condensed%20Matter
Computational Materials Science,09270256,Freedom,Computational%20Materials%20Science
Computational Toxicology,24681113,Freedom,Computational%20Toxicology
Computer-Aided Design,00104485,Freedom,Computer-Aided%20Design
Computer Aided Geometric Design,01678396,Freedom,Computer%20Aided%20Geometric%20Design
Computer Fraud & Security,13613723,Freedom,Computer%20Fraud%20%26%20Security
Computer Law & Security Review,02673649,Freedom,Computer%20Law%20%26%20Security%20Review
Computer Methods and Programs in Biomedicine,01692607,Freedom,Computer%20Methods%20and%20Programs%20in%20Biomedicine
Computer Science Review,15740137,Freedom,Computer%20Science%20Review
Computerized Medical Imaging and Graphics,08956111,Freedom,Computerized%20Medical%20Imaging%20and%20Graphics
Computers in Biology and Medicine,00104825,Freedom,Computers%20in%20Biology%20and%20Medicine
Computers & Chemical Engineering,00981354,Freedom,Computers%20%26%20Chemical%20Engineering
Computers and Composition,87554615,Freedom,Computers%20and%20Composition
Computers & Education,03601315,Freedom,Computers%20%26%20Education
Computers & Electrical Engineering,00457906,Freedom,Computers%20%26%20Electrical%20Engineering
Computers and Electronics in Agriculture,01681699,Freedom,Computers%20and%20Electronics%20in%20Agriculture
Computers in Human Behavior,07475632,Freedom,Computers%20in%20Human%20Behavior
Computers & Industrial Engineering,03608352,Freedom,Computers%20%26%20Industrial%20Engineering
Computers in Industry,01663615,Freedom,Computers%20in%20Industry
Computers & Operations Research,03050548,Freedom,Computers%20%26%20Operations%20Research
Construction and Building Materials,09500618,Freedom,Construction%20and%20Building%20Materials
Contact Lens and Anterior Eye,13670484,Freedom,Contact%20Lens%20and%20Anterior%20Eye
Contemporary Educational Psychology,0361476X,Freedom,Contemporary%20Educational%20Psychology
Cortex,00109452,Freedom,Cortex
Cretaceous Research,01956671,Freedom,Cretaceous%20Research
Critical Perspectives on Accounting,10452354,Freedom,Critical%20Perspectives%20on%20Accounting
Crop Protection,02612194,Freedom,Crop%20Protection
Cryobiology,00112240,Freedom,Cryobiology
Current Applied Physics,15671739,Freedom,Current%20Applied%20Physics
Current Medicine Research and Practice,23520817,Freedom,Current%20Medicine%20Research%20and%20Practice
Current Opinion in Behavioral Sciences,23521546,Freedom,Current%20Opinion%20in%20Behavioral%20Sciences
Current Opinion in Biomedical Engineering,24684511,Freedom,Current%20Opinion%20in%20Biomedical%20Engineering
Current Opinion in Chemical Engineering,22113398,Freedom,Current%20Opinion%20in%20Chemical%20Engineering
Current Opinion in Colloid & Interface Science,13590294,Freedom,Current%20Opinion%20in%20Colloid%20%26%20Interface%20Science
Current Opinion in Electrochemistry,24519103,Freedom,Current%20Opinion%20in%20Electrochemistry
Current Opinion in Endocrine and Metabolic Research,24519650,Freedom,Current%20Opinion%20in%20Endocrine%20and%20Metabolic%20Research
Current Opinion in Environmental Science & Health,24685844,Freedom,Current%20Opinion%20in%20Environmental%20Science%20%26%20Health
Current Opinion in Environmental Sustainability,18773435,Freedom,Current%20Opinion%20in%20Environmental%20Sustainability
Current Opinion in Food Science,22147993,Freedom,Current%20Opinion%20in%20Food%20Science
Current Opinion in Green and Sustainable Chemistry,24522236,Freedom,Current%20Opinion%20in%20Green%20and%20Sustainable%20Chemistry
Current Opinion in Insect Science,22145745,Freedom,Current%20Opinion%20in%20Insect%20Science
Current Opinion in Microbiology,13695274,Freedom,Current%20Opinion%20in%20Microbiology
Current Opinion in Pharmacology,14714892,Freedom,Current%20Opinion%20in%20Pharmacology
Current Opinion in Physiology,24688673,Freedom,Current%20Opinion%20in%20Physiology
Current Opinion in Psychology,2352250X,Freedom,Current%20Opinion%20in%20Psychology
Current Opinion in Solid State and Materials Science,13590286,Freedom,Current%20Opinion%20in%20Solid%20State%20and%20Materials%20Science
Current Opinion in Systems Biology,24523100,Freedom,Current%20Opinion%20in%20Systems%20Biology
Current Opinion in Toxicology,24682020,Freedom,Current%20Opinion%20in%20Toxicology
Current Opinion in Virology,18796257,Freedom,Current%20Opinion%20in%20Virology
Current Problems in Cancer,01470272,Freedom,Current%20Problems%20in%20Cancer
Current Problems in Cardiology,01462806,Freedom,Current%20Problems%20in%20Cardiology
Current Problems in Diagnostic Radiology,03630188,Freedom,Current%20Problems%20in%20Diagnostic%20Radiology
Current Problems in Pediatric and Adolescent Health Care,15385442,Freedom,Current%20Problems%20in%20Pediatric%20and%20Adolescent%20Health%20Care
Current Problems in Surgery,00113840,Freedom,Current%20Problems%20in%20Surgery
Current Research in Translational Medicine,24523186,Freedom,Current%20Research%20in%20Translational%20Medicine
Currents in Pharmacy Teaching and Learning,18771297,Freedom,Currents%20in%20Pharmacy%20Teaching%20and%20Learning
Cytokine & Growth Factor Reviews,13596101,Freedom,Cytokine%20%26%20Growth%20Factor%20Reviews
Cytotherapy,14653249,Freedom,Cytotherapy
Dendrochronologia,11257865,Freedom,Dendrochronologia
Dental Abstracts,00118486,Freedom,Dental%20Abstracts
Dental Materials,01095641,Freedom,Dental%20Materials
Design Studies,0142694X,Freedom,Design%20Studies
Developmental & Comparative Immunology,0145305X,Freedom,Developmental%20%26%20Comparative%20Immunology
Developmental Review,02732297,Freedom,Developmental%20Review
Diabetes & Metabolic Syndrome: Clinical Research and Reviews,18714021,Freedom,Diabetes%20%26%20Metabolic%20Syndrome%3A%20Clinical%20Research%20and%20Reviews
Diabetes & Metabolism,12623636,Freedom,Diabetes%20%26%20Metabolism
Diagnostic Histopathology,17562317,Freedom,Diagnostic%20Histopathology
Diagnostic and Interventional Imaging,22115684,Freedom,Diagnostic%20and%20Interventional%20Imaging
Diamond and Related Materials,09259635,Freedom,Diamond%20and%20Related%20Materials
Differentiation,03014681,Freedom,Differentiation
Digestive and Liver Disease,15908658,Freedom,Digestive%20and%20Liver%20Disease
Digital Applications in Archaeology and Cultural Heritage,22120548,Freedom,Digital%20Applications%20in%20Archaeology%20and%20Cultural%20Heritage
Digital Investigation,17422876,Freedom,Digital%20Investigation
Disability and Health Journal,19366574,Freedom,Disability%20and%20Health%20Journal
"Discourse, Context & Media",22116958,Freedom,Discourse%2C%20Context%20%26%20Media
Discrete Optimization,15725286,Freedom,Discrete%20Optimization
Displays,01419382,Freedom,Displays
DNA Repair,15687864,Freedom,DNA%20Repair
Domestic Animal Endocrinology,07397240,Freedom,Domestic%20Animal%20Endocrinology
Drug Discovery Today,13596446,Freedom,Drug%20Discovery%20Today
Drug Discovery Today: Disease Models,17406757,Freedom,Drug%20Discovery%20Today%3A%20Disease%20Models
Drug Discovery Today: Technologies,17406749,Freedom,Drug%20Discovery%20Today%3A%20Technologies
Drug Metabolism and Pharmacokinetics,13474367,Freedom,Drug%20Metabolism%20and%20Pharmacokinetics
Drug Resistance Updates,13687646,Freedom,Drug%20Resistance%20Updates
Dyes and Pigments,01437208,Freedom,Dyes%20and%20Pigments
Dynamics of Atmospheres and Oceans,03770265,Freedom,Dynamics%20of%20Atmospheres%20and%20Oceans
Early Human Development,03783782,Freedom,Early%20Human%20Development
Eating Behaviors,14710153,Freedom,Eating%20Behaviors
Ecohydrology & Hydrobiology,16423593,Freedom,Ecohydrology%20%26%20Hydrobiology
Ecological Complexity,1476945X,Freedom,Ecological%20Complexity
Ecological Engineering,09258574,Freedom,Ecological%20Engineering
Ecological Genetics and Genomics,24059854,Freedom,Ecological%20Genetics%20and%20Genomics
Ecological Indicators,1470160X,Freedom,Ecological%20Indicators
Ecological Informatics,15749541,Freedom,Ecological%20Informatics
Econometrics and Statistics,24523062,Freedom,Econometrics%20and%20Statistics
Economic Analysis and Policy,03135926,Freedom,Economic%20Analysis%20and%20Policy
Economic Modelling,02649993,Freedom,Economic%20Modelling
Economics & Human Biology,1570677X,Freedom,Economics%20%26%20Human%20Biology
Economics of Transportation,22120122,Freedom,Economics%20of%20Transportation
